row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu đồng,Phần mềm máy vi tínhTriệu đồng,TSCĐ vô hình khácTriệu đồng,Tổng cộngTriệu đồng,numeric__Quyền sử dụng đấtTriệu đồng,numeric__Phần mềm máy vi tínhTriệu đồng,numeric__TSCĐ vô hình khácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá TSCĐ vô hình:,Nguyên giá TSCĐ vô hình:,Nguyên giá TSCĐ vô hình:,Nguyên giá TSCĐ vô hình:,Nguyên giá TSCĐ vô hình:,Nguyên giá TSCĐ vô hình:,Nguyên giá TSCĐ vô hình:,,,,
Số dư đầu năm,Nguyên giá TSCĐ vô hình: > Số dư đầu năm,Số dư đầu năm,21.132,180.157,7.036,208.325,21132.0,180157.0,7036.0,208325.0
Mua trong năm,Nguyên giá TSCĐ vô hình: > Mua trong năm,Mua trong năm,-,28.280,4.750,33.030,,28280.0,4750.0,33030.0
Tăng khác,Nguyên giá TSCĐ vô hình: > Tăng khác,Tăng khác,-,1.959,-,1.959,,1959.0,,1959.0
"Thanh lý, nhượng bán","Nguyên giá TSCĐ vô hình: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(12.727),-,-,(12.727),-12727.0,,,-12727.0
Giảm khác,Nguyên giá TSCĐ vô hình: > Giảm khác,Giảm khác,-,(2.314),-,(2.314),,-2314.0,,-2314.0
Số dư cuối năm,Nguyên giá TSCĐ vô hình: > Số dư cuối năm,Số dư cuối năm,8.405,208.082,11.786,228.273,8405.0,208082.0,11786.0,228273.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế: > Số dư đầu năm,Số dư đầu năm,-,111.303,5.936,117.239,,111303.0,5936.0,117239.0
Khấu hao trong năm,Giá trị hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,-,19.769,528,20.297,,19769.0,528.0,20297.0
Giảm khác,Giá trị hao mòn lũy kế: > Giảm khác,Giảm khác,-,(454),-,(454),,-454.0,,-454.0
Số dư cuối năm,Giá trị hao mòn lũy kế: > Số dư cuối năm,Số dư cuối năm,-,130.618,6.464,137.082,,130618.0,6464.0,137082.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Tại ngày đầu năm,Giá trị còn lại: > Tại ngày đầu năm,Tại ngày đầu năm,21.132,68.854,1.100,91.086,21132.0,68854.0,1100.0,91086.0
Tại ngày cuối năm,Giá trị còn lại: > Tại ngày cuối năm,Tại ngày cuối năm,8.405,77.464,5.322,91.191,8405.0,77464.0,5322.0,91191.0
