row_label_raw,row_label_full,col_0,Thuyết minh,31/12/2015Triệu đồng,31/12/2014Triệu đồng,numeric__Thuyết minh,numeric__31/12/2015Triệu đồng,numeric__31/12/2014Triệu đồng
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,
"Tiền mặt, vàng bạc, đá quý","TÀI SẢN > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",4,849.362,637.503,4.0,849362.0,637503.0
Tiền gửi tại Ngân hàng Nhà nước (“NHNN”),TÀI SẢN > Tiền gửi tại Ngân hàng Nhà nước (“NHNN”),Tiền gửi tại Ngân hàng Nhà nước (“NHNN”),5,6.891.501,1.619.862,5.0,6891501.0,1619862.0
Tiền gửi tại và cho vay các tổ chức tín dụng (“TCTD”) khác,TÀI SẢN > Tiền gửi tại và cho vay các tổ chức tín dụng (“TCTD”) khác,Tiền gửi tại và cho vay các tổ chức tín dụng (“TCTD”) khác,6,761.774,7.492.684,6.0,761774.0,7492684.0
Tiền gửi tại các TCTD khác,TÀI SẢN > Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,,586.774,3.027.234,,586774.0,3027234.0
Cho vay các TCTD khác,TÀI SẢN > Cho vay các TCTD khác,Cho vay các TCTD khác,,175.000,4.465.450,,175000.0,4465450.0
Dự phòng rủi ro cho vay các TCTD khác,Dự phòng rủi ro cho vay các TCTD khác,Dự phòng rủi ro cho vay các TCTD khác,,-,-,,,
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,,-,-,,,
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Chứng khoán kinh doanh > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,,76.363,9.656,,76363.0,9656.0
Cho vay khách hàng,Chứng khoán kinh doanh > Cho vay khách hàng,Cho vay khách hàng,,47.024.555,37.329.571,,47024555.0,37329571.0
Cho vay khách hàng,Chứng khoán kinh doanh > Cho vay khách hàng,Cho vay khách hàng,7,47.777.031,38.178.786,7.0,47777031.0,38178786.0
Dự phòng rủi ro cho vay khách hàng,Chứng khoán kinh doanh > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,8,(752.476),(849.215),8.0,-752476.0,-849215.0
Chứng khoán đầu tư,Chứng khoán kinh doanh > Chứng khoán đầu tư,Chứng khoán đầu tư,9,26.041.403,27.459.180,9.0,26041403.0,27459180.0
Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán kinh doanh > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,,22.978.623,25.378.835,,22978623.0,25378835.0
Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán kinh doanh > Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,,3.757.699,2.348.312,,3757699.0,2348312.0
Dự phòng rủi ro chứng khoán đầu tư,Chứng khoán kinh doanh > Dự phòng rủi ro chứng khoán đầu tư,Dự phòng rủi ro chứng khoán đầu tư,,(694.919),(267.967),,-694919.0,-267967.0
