row_label_raw,row_label_full,col_0,Năm 2015Triệu đồng,Năm 2014Triệu đồng,numeric__Năm 2015Triệu đồng,numeric__Năm 2014Triệu đồng
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,266.187,207.411,266187.0,207411.0
Thu từ dịch vụ thanh toán,Thu từ dịch vụ thanh toán,Thu từ dịch vụ thanh toán,136.679,122.446,136679.0,122446.0
Thu từ dịch vụ ngân quỹ,Thu từ dịch vụ ngân quỹ,Thu từ dịch vụ ngân quỹ,4.098,4.472,4098.0,4472.0
Thu từ dịch vụ tư vấn,Thu từ dịch vụ tư vấn,Thu từ dịch vụ tư vấn,2.658,6.522,2658.0,6522.0
Thu từ dịch vụ đại lý nhận ủy thác,Thu từ dịch vụ đại lý nhận ủy thác,Thu từ dịch vụ đại lý nhận ủy thác,2.974,1.004,2974.0,1004.0
Thu phí khác,Thu phí khác,Thu phí khác,119.778,72.967,119778.0,72967.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,(108.160),(75.556),-108160.0,-75556.0
Chi về dịch vụ thanh toán,Chi về dịch vụ thanh toán,Chi về dịch vụ thanh toán,(62.679),(50.400),-62679.0,-50400.0
Dịch vụ ủy thác và đại lý,Dịch vụ ủy thác và đại lý,Dịch vụ ủy thác và đại lý,(1.734),(2.859),-1734.0,-2859.0
Dịch vụ môi giới,Dịch vụ môi giới,Dịch vụ môi giới,(14.493),(3.733),-14493.0,-3733.0
Chi khác,Chi khác,Chi khác,(29.254),(18.564),-29254.0,-18564.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,158.027,131.855,158027.0,131855.0
