row_label_raw,row_label_full,col_0,Giá trị tại thời điểm lập báo cáo (Triệu đồng) > 31/12/2015,Giá trị tại thời điểm lập báo cáo (Triệu đồng) > 31/12/2014,numeric__Giá trị tại thời điểm lập báo cáo (Triệu đồng) > 31/12/2015,numeric__Giá trị tại thời điểm lập báo cáo (Triệu đồng) > 31/12/2014
Bất động sản,Bất động sản,Bất động sản,68.341.945,60.759.780,68341945.0,60759780.0
"Cổ phiếu, trái phiếu, giấy tờ có giá","Cổ phiếu, trái phiếu, giấy tờ có giá","Cổ phiếu, trái phiếu, giấy tờ có giá",7.367.723,5.427.026,7367723.0,5427026.0
Động sản,Động sản,Động sản,32.780.162,24.967.886,32780162.0,24967886.0
Tải sản khác,Tải sản khác,Tải sản khác,16.047.118,7.148.843,16047118.0,7148843.0
,,,124.536.948,98.303.535,124536948.0,98303535.0
