row_label_raw,row_label_full,col_0,Quá hạn,Khôngđịnh lại lãi suất,Lãi suất được định lại trong vòng,Lãi suất được định lại trong vòng_1,Lãi suất được định lại trong vòng_2,Lãi suất được định lại trong vòng_3,Lãi suất được định lại trong vòng_4,Lãi suất được định lại trong vòng_5,Tổng,numeric__Quá hạn,numeric__Khôngđịnh lại lãi suất,numeric__Lãi suất được định lại trong vòng,numeric__Lãi suất được định lại trong vòng_1,numeric__Lãi suất được định lại trong vòng_2,numeric__Lãi suất được định lại trong vòng_3,numeric__Lãi suất được định lại trong vòng_4,numeric__Lãi suất được định lại trong vòng_5,numeric__Tổng
,,,Quá hạn,Khôngđịnh lại lãi suất,Đến 1 tháng,Từ 1 - 3 tháng,Từ 3 - 6 tháng,Từ 6 - 12 tháng,Từ 1 - 5 năm,Trên 5 năm,Tổng,,,,,,,,,
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
"Tiền mặt vàng bạc, đá qui","Tài sản > Tiền mặt vàng bạc, đá qui","Tiền mặt vàng bạc, đá qui",-,849.362,-,-,-,-,-,-,849.362,,849362.0,,,,,,,849362.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,6.891.501,-,-,-,-,-,6.891.501,,,6891501.0,,,,,,6891501.0
Tiền gửi tại và cho vay các TCTD khác,Tài sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,586.774,50.000,75.000,50.000,-,-,761.774,,,586774.0,50000.0,75000.0,50000.0,,,761774.0
Các công cụ tài chính phải sinh và các tài sảntài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sảntài chính khác,Các công cụ tài chính phải sinh và các tài sảntài chính khác,-,-,76.363,-,-,-,-,-,76.363,,,76363.0,,,,,,76363.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),1.839.700,,15.819.549,18.772.164,5.987.255,3.040.621,2.211.964,105.778,47.777.031,1839700.0,,15819549.0,18772164.0,5987255.0,3040621.0,2211964.0,105778.0,47777031.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),200.000,3.715.319,1.073.979,2.364.988,4.218.577,2.244.247,12.537.365,381.847,26.736.322,200000.0,3715319.0,1073979.0,2364988.0,4218577.0,2244247.0,12537365.0,381847.0,26736322.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,277.154,-,-,-,-,-,-,277.154,,277154.0,,,,,,,277154.0
Tài sản cố định và bất động sản đầu tư,Tài sản > Tài sản cố định và bất động sản đầu tư,Tài sản cố định và bất động sản đầu tư,-,347.149,-,-,-,-,-,-,347.149,,347149.0,,,,,,,347149.0
Tài sản cố khác (*),Tài sản > Tài sản cố khác (*),Tài sản cố khác (*),-,2.399.026,-,-,-,-,-,-,2.399.026,,2399026.0,,,,,,,2399026.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,2.039.700,7.588.010,24.448.166,21.187.152,10.280.832,5.334.868,14.749.329,487.625,86.115.682,2039700.0,7588010.0,24448166.0,21187152.0,10280832.0,5334868.0,14749329.0,487625.0,86115682.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Tiền gửi của và vay từ NHNN và các TCTD khác,Nợ phải trả > Tiền gửi của và vay từ NHNN và các TCTD khác,Tiền gửi của và vay từ NHNN và các TCTD khác,-,-,10.249.636,8.343.150,2.579.162,49,-,-,21.171.997,,,10249636.0,8343150.0,2579162.0,49.0,,,21171997.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,104.429,29.965.205,11.444.437,5.240.964,6.223.692,665.144,-,53.643.871,,104429.0,29965205.0,11444437.0,5240964.0,6223692.0,665144.0,,53643871.0
"Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTDchịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTDchịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTDchịu rủi ro",-,-,72.926,-,-,-,-,-,72.926,,,72926.0,,,,,,72926.0
Các khoản nợ khác (*),Nợ phải trả > Các khoản nợ khác (*),Các khoản nợ khác (*),-,1.136.186,-,-,-,-,-,-,1.136.186,,1136186.0,,,,,,,1136186.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,1.240.615,40.287.767,19.787.587,7.820.126,6.223.741,665.144,-,76.024.980,,1240615.0,40287767.0,19787587.0,7820126.0,6223741.0,665144.0,,76024980.0
Mức chênh nhạy cảm với lãi suất nội bằng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bằng,Mức chênh nhạy cảm với lãi suất nội bằng,2.039.700,6.347.395,(15.839.601),1.399.565,2.460.706,(888.873),14.084.185,487.625,10.090.702,2039700.0,6347395.0,-15839601.0,1399565.0,2460706.0,-888873.0,14084185.0,487625.0,10090702.0
Mức chênh nhạy cảm với lãi suất ngoại bằng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất ngoại bằng,Mức chênh nhạy cảm với lãi suất ngoại bằng,-,-,21.352,27.405,16.349,5.024,-,-,70.130,,,21352.0,27405.0,16349.0,5024.0,,,70130.0
Tổng mức chênh nhạy cảm với lãi suất,Nợ phải trả > Tổng mức chênh nhạy cảm với lãi suất,Tổng mức chênh nhạy cảm với lãi suất,2.039.700,6.347.395,(15.818.249),1.426.970,2.477.055,(883.849),14.084.185,487.625,10.160.832,2039700.0,6347395.0,-15818249.0,1426970.0,2477055.0,-883849.0,14084185.0,487625.0,10160832.0
