row_label_raw,row_label_full,Tên Công ty,Quan hệ với VIB,Nội dung giao dịch,Số tiền,numeric__Quan hệ với VIB,numeric__Nội dung giao dịch,numeric__Số tiền
VIBAMC,VIBAMC,VIBAMC,Công ty con,Tiền gửi tại ngân hàng,434.610,,,434610.0
VIBAMC,VIBAMC,VIBAMC,Công ty con,Phải thu hoạt động kinh tế khác,965.453,,,965453.0
