row_label_raw,row_label_full,col_0,USD được quy đổi,EUR được quy đổi,Các ngoại tệ khác và vàng được quy đổi,Tổng,numeric__USD được quy đổi,numeric__EUR được quy đổi,numeric__Các ngoại tệ khác và vàng được quy đổi,numeric__Tổng
Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,,,,
"Tiền mặt, vàng bạc, đá quý","Tải sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",116.449,52.529,8.896,177.874,116449.0,52529.0,8896.0,177874.0
Tiền gửi tại NHNN,Tải sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,545.452,-,-,545.452,545452.0,,,545452.0
Tiền gửi tại và cho vay các TCTD khác,Tải sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,6.005.480,180.990,37.347,6.223.817,6005480.0,180990.0,37347.0,6223817.0
Các công cụ tài chính phải sinh và các công nợ tài chính khác,Tải sản > Các công cụ tài chính phải sinh và các công nợ tài chính khác,Các công cụ tài chính phải sinh và các công nợ tài chính khác,(1.916.029),149.885,104.763,(1.661.381),-1916029.0,149885.0,104763.0,-1661381.0
Cho vay khách hàng (*),Tải sản > Cho vay khách hàng (*),Cho vay khách hàng (*),8.032.069,43.445,-,8.075.514,8032069.0,43445.0,,8075514.0
"Góp vốn, đầu tư dài hạn (*)","Tải sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",556,-,-,556,556.0,,,556.0
Các tài sản Có khác (*),Tải sản > Các tài sản Có khác (*),Các tài sản Có khác (*),456.237,1.142,-,457.379,456237.0,1142.0,,457379.0
Tổng tài sản,Tải sản > Tổng tài sản,Tổng tài sản,13.240.214,427.991,151.006,13.819.211,13240214.0,427991.0,151006.0,13819211.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,
Tiền gửi của và vay từ NHNN và các TCTD khác,Nợ phải trả > Tiền gửi của và vay từ NHNN và các TCTD khác,Tiền gửi của và vay từ NHNN và các TCTD khác,11.925.727,8,-,11.925.735,11925727.0,8.0,,11925735.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,5.030.347,397.832,48.786,5.476.965,5030347.0,397832.0,48786.0,5476965.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,25,-,-,25,25.0,,,25.0
Các khoản nợ khác (*),Nợ phải trả > Các khoản nợ khác (*),Các khoản nợ khác (*),64.105,12.666,1.126,77.897,64105.0,12666.0,1126.0,77897.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,17.020.204,410.506,49.912,17.480.622,17020204.0,410506.0,49912.0,17480622.0
Trạng thái tiền tệ nội bằng,Nợ phải trả > Trạng thái tiền tệ nội bằng,Trạng thái tiền tệ nội bằng,(3.779.990),17.485,101.094,(3.661.411),-3779990.0,17485.0,101094.0,-3661411.0
Trạng thái tiền tệ ngoại bằng,Nợ phải trả > Trạng thái tiền tệ ngoại bằng,Trạng thái tiền tệ ngoại bằng,4.365.166,(9.258),(87.412),4.268.496,4365166.0,-9258.0,-87412.0,4268496.0
"Trạng thái tiền tệ nội, ngoại bằng","Nợ phải trả > Trạng thái tiền tệ nội, ngoại bằng","Trạng thái tiền tệ nội, ngoại bằng",585.176,8.227,13.682,607.085,585176.0,8227.0,13682.0,607085.0
