row_label_raw,row_label_full,col_0,Thuyết minh,Năm 2015Triệu đồng,Năm 2014Triệu đồng,numeric__Thuyết minh,numeric__Năm 2015Triệu đồng,numeric__Năm 2014Triệu đồng
LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
Mua sắm tài sản cố định,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Mua sắm tài sản cố định,Mua sắm tài sản cố định,,(71.106),(100.507),,-71106.0,-100507.0
"Tiền thu từ thanh lý, nhượng bán TSCĐ","LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu từ thanh lý, nhượng bán TSCĐ","Tiền thu từ thanh lý, nhượng bán TSCĐ",,809,16.254,,809.0,16254.0
"Tiền chi từ thanh lý, nhượng bán TSCĐ","LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi từ thanh lý, nhượng bán TSCĐ","Tiền chi từ thanh lý, nhượng bán TSCĐ",,(89),-,,-89.0,
"Tiền thu đầu tư, góp vốn vào các đơn vị khác","LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu đầu tư, góp vốn vào các đơn vị khác","Tiền thu đầu tư, góp vốn vào các đơn vị khác",,47.647,1.142.270,,47647.0,1142270.0
"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn","LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn","Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",,8.036,1.403,,8036.0,1403.0
Lưu chuyển tiền thuần từ/(sử dụng vào) hoạt động đầu tư,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ/(sử dụng vào) hoạt động đầu tư,Lưu chuyển tiền thuần từ/(sử dụng vào) hoạt động đầu tư,,(14.703),1.059.420,,-14703.0,1059420.0
LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
Tăng vốn cổ phần từ góp vốn và/ hoặc phát hành cổ phiếu,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tăng vốn cổ phần từ góp vốn và/ hoặc phát hành cổ phiếu,Tăng vốn cổ phần từ góp vốn và/ hoặc phát hành cổ phiếu,,595.000,-,,595000.0,
"Cổ tức trả cho cổ đông, lợi nhuận đã chia","LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Cổ tức trả cho cổ đông, lợi nhuận đã chia","Cổ tức trả cho cổ đông, lợi nhuận đã chia",,(977.499),-,,-977499.0,
Tiền thu được do bán cổ phiếu quỹ,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền thu được do bán cổ phiếu quỹ,Tiền thu được do bán cổ phiếu quỹ,,(5),-,,-5.0,
Lưu chuyển tiền thuần từ/(sử dụng vào) hoạt động tài chính,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ/(sử dụng vào) hoạt động tài chính,Lưu chuyển tiền thuần từ/(sử dụng vào) hoạt động tài chính,,(382.504),-,,-382504.0,
Lưu chuyển tiền thuần từ/(sử dụng) trong năm,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ/(sử dụng) trong năm,Lưu chuyển tiền thuần từ/(sử dụng) trong năm,,3.043.038,(2.774.288),,3043038.0,-2774288.0
Tiền và các khoản tương đương tiền tại thời điểm đầu năm,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và các khoản tương đương tiền tại thời điểm đầu năm,Tiền và các khoản tương đương tiền tại thời điểm đầu năm,,5.284.599,8.058.887,,5284599.0,8058887.0
Tiền và các khoản tương đương tiền tại thời điểm cuối năm,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và các khoản tương đương tiền tại thời điểm cuối năm,Tiền và các khoản tương đương tiền tại thời điểm cuối năm,28,8.327.637,5.284.599,28.0,8327637.0,5284599.0
