row_label_raw,row_label_full,Phân loại,Mệnh giá trái phiếu Triệu đồng,Dự phòng cụ thể Triệu đồng,Dự phòng chung (*) Triệu đồng,numeric__Mệnh giá trái phiếu Triệu đồng,numeric__Dự phòng cụ thể Triệu đồng,numeric__Dự phòng chung (*) Triệu đồng
Nợ dữ tiêu chuẩn,Nợ dữ tiêu chuẩn,Nợ dữ tiêu chuẩn,4.035.181,-,30.271,4035181.0,,30271.0
Nợ cần chú ý,Nợ cần chú ý,Nợ cần chú ý,100.000,99.996,-,100000.0,99996.0,
Nợ dưới tiêu chuẩn,Nợ dưới tiêu chuẩn,Nợ dưới tiêu chuẩn,-,-,-,,,
Nợ nghi ngờ,Nợ nghi ngờ,Nợ nghi ngờ,-,-,-,,,
Nợ có khả năng mất vốn,Nợ có khả năng mất vốn,Nợ có khả năng mất vốn,-,-,-,,,
,,,4.135.181,99.996,30.271,4135181.0,99996.0,30271.0
