row_label_raw,row_label_full,col_0,31/12/2015Triệu đồng,31/12/2014Triệu đồng,numeric__31/12/2015Triệu đồng,numeric__31/12/2014Triệu đồng
Tiền gửi không kỳ hạn của các TCTD khác,Tiền gửi không kỳ hạn của các TCTD khác,Tiền gửi không kỳ hạn của các TCTD khác,661,5.231,661.0,5231.0
- Bằng VNĐ,- Bằng VNĐ,- Bằng VNĐ,636,5.172,636.0,5172.0
- Bằng vàng và ngoại tệ,- Bằng vàng và ngoại tệ,- Bằng vàng và ngoại tệ,25,59,25.0,59.0
Tiền gửi có kỳ hạn của các TCTD khác,Tiền gửi có kỳ hạn của các TCTD khác,Tiền gửi có kỳ hạn của các TCTD khác,6.627.536,8.591.225,6627536.0,8591225.0
- Bằng VNĐ,- Bằng VNĐ,- Bằng VNĐ,3.680.036,3.725.000,3680036.0,3725000.0
- Bằng vàng và ngoại tệ,- Bằng vàng và ngoại tệ,- Bằng vàng và ngoại tệ,2.947.500,4.866.225,2947500.0,4866225.0
Tiền vay các TCTD khác,Tiền vay các TCTD khác,Tiền vay các TCTD khác,6.071.469,11.164.673,6071469.0,11164673.0
- Bằng VNĐ,- Bằng VNĐ,- Bằng VNĐ,2.652.785,4.105.222,2652785.0,4105222.0
- Bằng vàng và ngoại tệ,- Bằng vàng và ngoại tệ,- Bằng vàng và ngoại tệ,3.418.684,7.059.451,3418684.0,7059451.0
,,,12.699.666,19.761.129,12699666.0,19761129.0
