row_label_raw,row_label_full,col_0,Quyềnsử dụng đất,Chương trìnhphần mềm,Tài sản cố địnhkhác (website),Cộng,numeric__Quyềnsử dụng đất,numeric__Chương trìnhphần mềm,numeric__Tài sản cố địnhkhác (website),numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,337.478.200,1.187.205.923,190.000.000,1.714.684.123,337478200.0,1187205923.0,190000000.0,1714684123.0
Số cuối kỳ,Nguyên giá > Số cuối kỳ,Số cuối kỳ,337.478.200,1.187.205.923,190.000.000,1.714.684.123,337478200.0,1187205923.0,190000000.0,1714684123.0
Trong đó: Đã khấu hao hếtnhưng vấn còn sử dụng,Nguyên giá > Trong đó: Đã khấu hao hếtnhưng vấn còn sử dụng,Trong đó: Đã khấu hao hếtnhưng vấn còn sử dụng,337.478.200,1.187.205.923,-,1.524.684.123,337478200.0,1187205923.0,,1524684123.0
Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,,,,
Số đầu năm,Giá trị hao mòn > Số đầu năm,Số đầu năm,334.824.581,1.187.205.923,98.166.677,1.620.197.181,334824581.0,1187205923.0,98166677.0,1620197181.0
Khấu hao trong năm,Giá trị hao mòn > Khấu hao trong năm,Khấu hao trong năm,2.653.619,-,38.000.004,40.653.623,2653619.0,,38000004.0,40653623.0
Số cuối kỳ,Giá trị hao mòn > Số cuối kỳ,Số cuối kỳ,337.478.200,1.187.205.923,136.166.681,1.660.850.804,337478200.0,1187205923.0,136166681.0,1660850804.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,2.653.619,-,91.833.323,94.486.942,2653619.0,,91833323.0,94486942.0
Số cuối kỳ,Giá trị còn lại > Số cuối kỳ,Số cuối kỳ,-,-,53.833.319,53.833.319,,,53833319.0,53833319.0
