row_label_raw,row_label_full,col_0,Sửa chữa nhà G10,Sửa chữa hệ thống camera toa HH4,Dự án Thủy diện Sekong 3,Cộng,numeric__Sửa chữa nhà G10,numeric__Sửa chữa hệ thống camera toa HH4,numeric__Dự án Thủy diện Sekong 3,numeric__Cộng
Số đầu năm,Số đầu năm,Số đầu năm,3.722.078.788,-,48.849.426.755,52.571.505.543,3722078788.0,,48849426755.0,52571505543.0
Chi phí phát sinh trong năm,Chi phí phát sinh trong năm,Chi phí phát sinh trong năm,5.564.535.561,475.509.000,-,6.040.044.561,5564535561.0,475509000.0,,6040044561.0
Kết chuyển vào TSCĐ trong năm,Kết chuyển vào TSCĐ trong năm,Kết chuyển vào TSCĐ trong năm,(517.300.000),-,-,(517.300.000),-517300000.0,,,-517300000.0
Kết chuyển vào chi phí phân bổ,Kết chuyển vào chi phí phân bổ,Kết chuyển vào chi phí phân bổ,(8.769.314.349),(475.509.000),-,(9.244.823.349),-8769314349.0,-475509000.0,,-9244823349.0
Số cuối năm,Số cuối năm,Số cuối năm,-,-,48.849.426.755,48.849.426.755,,,48849426755.0,48849426755.0
