row_label_raw,row_label_full,col_0,Lĩnh vựcXây lắp,Lĩnh vựcThủy điện,Lĩnh vực khác,Cộng,numeric__Lĩnh vựcXây lắp,numeric__Lĩnh vựcThủy điện,numeric__Lĩnh vực khác,numeric__Cộng
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,,,,
Tài sản trực tiếp của bộ phận,Số cuối năm > Tài sản trực tiếp của bộ phận,Tài sản trực tiếp của bộ phận,3.701.675.107.600,63.915.101.048,953.640.510.854,4.719.230.719.502,3701675107600.0,63915101048.0,953640510854.0,4719230719502.0
Các tài sản không phân bổtheo bộ phận,Số cuối năm > Các tài sản không phân bổtheo bộ phận,Các tài sản không phân bổtheo bộ phận,-,-,-,10.517.893.390.011,,,,10517893390011.0
Tổng tài sản,Số cuối năm > Tổng tài sản,Tổng tài sản,,,,15.237.124.109.513,,,,15237124109513.0
Nợ phải trả trực tiếpcủa bộ phận,Số cuối năm > Nợ phải trả trực tiếpcủa bộ phận,Nợ phải trả trực tiếpcủa bộ phận,9.333.844.712.715,606.933.721.460,244.819.383.399,10.185.597.817.574,9333844712715.0,606933721460.0,244819383399.0,10185597817574.0
Nợ phải trả không phân bổtheo bộ phận,Số cuối năm > Nợ phải trả không phân bổtheo bộ phận,Nợ phải trả không phân bổtheo bộ phận,-,-,-,474.685.303.281,,,,474685303281.0
Tổng nợ phải trả,Số cuối năm > Tổng nợ phải trả,Tổng nợ phải trả,,,,10.660.283.120.855,,,,10660283120855.0
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,
Tài sản trực tiếp của bộ phận,Số đầu năm > Tài sản trực tiếp của bộ phận,Tài sản trực tiếp của bộ phận,8.692.059.997.668,139.217.307.768,12.646.341.441,8.843.923.646.877,8692059997668.0,139217307768.0,12646341441.0,8843923646877.0
Các tài sản không phân bổtheo bộ phận,Số đầu năm > Các tài sản không phân bổtheo bộ phận,Các tài sản không phân bổtheo bộ phận,-,-,-,6.288.734.164.457,,,,6288734164457.0
Tổng tài sản,Số đầu năm > Tổng tài sản,Tổng tài sản,,,,15.132.657.811.334,,,,15132657811334.0
Nợ phải trả trực tiếpcủa bộ phận,Số đầu năm > Nợ phải trả trực tiếpcủa bộ phận,Nợ phải trả trực tiếpcủa bộ phận,9.872.537.486.273,502.919.441.008,198.417.876.642,10.573.874.803.923,9872537486273.0,502919441008.0,198417876642.0,10573874803923.0
Nợ phải trả khôngphân bổ theo bộ phận,Số đầu năm > Nợ phải trả khôngphân bổ theo bộ phận,Nợ phải trả khôngphân bổ theo bộ phận,-,-,-,6.933.951.669,,,,6933951669.0
Tổng nợ phải trả,Số đầu năm > Tổng nợ phải trả,Tổng nợ phải trả,,,,10.580.808.755.592,,,,10580808755592.0
