row_label_raw,row_label_full,col_0,Tổng dư nợ vay,Cho Xi măng Hạ Long vay lại,Cho các Công ty con vay và sử dụng vào SXKD,numeric__Tổng dư nợ vay,numeric__Cho Xi măng Hạ Long vay lại,numeric__Cho các Công ty con vay và sử dụng vào SXKD
Thời hạn dưới 1 năm,Thời hạn dưới 1 năm,Thời hạn dưới 1 năm,1.478.456.460.183,1.045.292.478.478,433.163.981.705,1478456460183.0,1045292478478.0,433163981705.0
Vay Ngân hàng NIB,Vay Ngân hàng NIB,Vay Ngân hàng NIB,658.715.673.898,341.895.698.642,316.819.975.256,658715673898.0,341895698642.0,316819975256.0
Vay ngân hàng ADB,Vay ngân hàng ADB,Vay ngân hàng ADB,150.265.335.481,33.921.329.032,116.344.006.449,150265335481.0,33921329032.0,116344006449.0
Vay Bộ Tài chính,Vay Bộ Tài chính,Vay Bộ Tài chính,669.475.450.804,669.475.450.804,-,669475450804.0,669475450804.0,
Thời hạn trên 1 năm,Thời hạn trên 1 năm,Thời hạn trên 1 năm,2.165.964.618.092,587.889.026.998,1.578.075.591.094,2165964618092.0,587889026998.0,1578075591094.0
Vay Ngân hàng ADB,Vay Ngân hàng ADB,Vay Ngân hàng ADB,2.165.964.618.092,587.889.026.998,1.578.075.591.094,2165964618092.0,587889026998.0,1578075591094.0
Cộng,Cộng,Cộng,4.989.730.394.223,2.984.013.953.621,2.005.716.440.602,4989730394223.0,2984013953621.0,2005716440602.0
Vay ngân hàng NIB,Vay ngân hàng NIB,Vay ngân hàng NIB,658.715.673.898,341.895.698.642,316.819.975.256,658715673898.0,341895698642.0,316819975256.0
Vay Ngân hàng ADB,Vay Ngân hàng ADB,Vay Ngân hàng ADB,2.316.229.953.573,621.810.356.030,1.694.419.597.543,2316229953573.0,621810356030.0,1694419597543.0
Vay Bộ Tài chính,Vay Bộ Tài chính,Vay Bộ Tài chính,669.475.450.804,669.475.450.804,-,669475450804.0,669475450804.0,
