row_label_raw,row_label_full,col_0,Lĩnh vực Xây lắp,Lĩnh vực Thủy điện,Lĩnh vực khác,Cộng,numeric__Lĩnh vực Xây lắp,numeric__Lĩnh vực Thủy điện,numeric__Lĩnh vực khác,numeric__Cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm nay > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,116.350.151.981,245.408.278.258,132.789.849.998,494.548.280.237,116350151981.0,245408278258.0,132789849998.0,494548280237.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,-,-,-,-,,,,
Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,116.350.151.981,245.408.278.258,132.789.849.998,494.548.280.237,116350151981.0,245408278258.0,132789849998.0,494548280237.0
Kết quả kinh doanh theo bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,2.529.364.462,-,31.883.778.275,34.413.142.737(76.503.669.175),2529364462.0,,31883778275.0,
Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,,,,,,
Lợi nhuận từ hoạt động kinh doanh,Các chi phí không phân bổ theo bộ phận > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,-,-,-,(42.090.526.438),,,,-42090526438.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,-,-,-,399.406.109.560(283.110.879.879),,,,
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,-,-,-,,,,,
Thu nhập khác,Chi phí tài chính > Thu nhập khác,Thu nhập khác,-,-,-,7.150.695.225,,,,7150695225.0
Chi phí khác,Chi phí tài chính > Chi phí khác,Chi phí khác,-,-,-,(49.686.390.825),,,,-49686390825.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Chi phí tài chính > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,31.669.007.643,,,,31669007643.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Chi phí tài chính > Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,-,-,6.040.044.561,6.040.044.561,,,6040044561.0,6040044561.0
Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Chi phí tài chính > Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,4.095.856.380,-,32.892.134.196,36.987.990.576,4095856380.0,,32892134196.0,36987990576.0
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm trước > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,513.178.513.332,309.224.382.193,110.750.643.008,933.153.538.533,513178513332.0,309224382193.0,110750643008.0,933153538533.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,-,-,-,-,,,,
Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,513.178.513.332,309.224.382.193,110.750.643.008,933.153.538.533,513178513332.0,309224382193.0,110750643008.0,933153538533.0
Kết quả kinh doanh theo bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,6.321.639.301,-,48.170.895.341,54.492.534.642(123.324.639.226),6321639301.0,,48170895341.0,
Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,,,,,,
Lợi nhuận từ hoạt động kinh doanh,Các chi phí không phân bổ theo bộ phận > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,-,-,-,(68.832.104.584),,,,-68832104584.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,-,-,-,529.125.230.312(329.335.456.277),,,,
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,-,-,-,,,,,
Thu nhập khác,Chi phí tài chính > Thu nhập khác,Thu nhập khác,-,-,-,4.023.367.582,,,,4023367582.0
Chi phí khác,Chi phí tài chính > Chi phí khác,Chi phí khác,-,-,-,(94.825.354.500),,,,-94825354500.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Chi phí tài chính > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,40.155.682.533,,,,40155682533.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Chi phí tài chính > Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,-,-,(3.722.078.788),(3.722.078.788),,,-3722078788.0,-3722078788.0
Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Chi phí tài chính > Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,(31.395.545.341),-,(6.775.569.794),(38.171.115.135),-31395545341.0,,-6775569794.0,-38171115135.0
