row_label_raw,row_label_full,col_0,col_1,Tiền lương,Thường,Thù lao,Cộng thu nhập,numeric__col_1,numeric__Tiền lương,numeric__Thường,numeric__Thù lao,numeric__Cộng thu nhập
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Hội đồng quản trị và Ban Tổng giám đốc,Hội đồng quản trị và Ban Tổng giám đốc,Hội đồng quản trị và Ban Tổng giám đốc,Hội đồng quản trị và Ban Tổng giám đốc,Hội đồng quản trị và Ban Tổng giám đốc,Hội đồng quản trị và Ban Tổng giám đốc,Hội đồng quản trị và Ban Tổng giám đốc,Hội đồng quản trị và Ban Tổng giám đốc,,,,,
Ông Hồ Văn Dũng,Hội đồng quản trị và Ban Tổng giám đốc > Ông Hồ Văn Dũng,Ông Hồ Văn Dũng,Chủ tịch,629.285.909,6.000.000,-,635.285.909,,629285909.0,6000000.0,,635285909.0
Ông Trần Văn Tuấn,Hội đồng quản trị và Ban Tổng giám đốc > Ông Trần Văn Tuấn,Ông Trần Văn Tuấn,Thành viên/Tổng Giám đốc,534.645.455,6.000.000,84.000.000,624.645.455,,534645455.0,6000000.0,84000000.0,624645455.0
Ông Phạm Văn Quản,Hội đồng quản trị và Ban Tổng giám đốc > Ông Phạm Văn Quản,Ông Phạm Văn Quản,Thành viên,548.087.727,6.000.000,-,554.087.727,,548087727.0,6000000.0,,554087727.0
Ông Đăng Quốc Bảo,Hội đồng quản trị và Ban Tổng giám đốc > Ông Đăng Quốc Bảo,Ông Đăng Quốc Bảo,Thành viên,533.483.182,6.000.000,-,539.483.182,,533483182.0,6000000.0,,539483182.0
Ông Phạm Đức Thành,Hội đồng quản trị và Ban Tổng giám đốc > Ông Phạm Đức Thành,Ông Phạm Đức Thành,Phó Tổng Giám đốc,358.272.213,6.000.000,-,364.272.213,,358272213.0,6000000.0,,364272213.0
Ông Nguyễn Văn Thự,Hội đồng quản trị và Ban Tổng giám đốc > Ông Nguyễn Văn Thự,Ông Nguyễn Văn Thự,Phó Tổng Giám đốc,353.352.273,6.000.000,-,359.352.273,,353352273.0,6000000.0,,359352273.0
Ông Hoàng Ngọc Tú,Hội đồng quản trị và Ban Tổng giám đốc > Ông Hoàng Ngọc Tú,Ông Hoàng Ngọc Tú,Phó Tổng Giám đốc,67.041.818,-,-,67.041.818,,67041818.0,,,67041818.0
Ông Nguyễn Văn Sơn,Hội đồng quản trị và Ban Tổng giám đốc > Ông Nguyễn Văn Sơn,Ông Nguyễn Văn Sơn,Phó Tổng Giám đốc,208.000.000,6.000.000,-,214.000.000,,208000000.0,6000000.0,,214000000.0
