row_label_raw,row_label_full,Tên công ty,Địa chỉ trụ sở chính,Hoạt động kinh doanh chính,Tỷ lệ vốn góp,Tỷ lệ phần sở hữu,Tỷ lệ quyền biểu quyết,numeric__Địa chỉ trụ sở chính,numeric__Hoạt động kinh doanh chính,numeric__Tỷ lệ vốn góp,numeric__Tỷ lệ phần sở hữu,numeric__Tỷ lệ quyền biểu quyết
Công ty Cổ phần Đầu tư Phát triển Đô thị và Khu công nghiệp Sông Đà,Công ty Cổ phần Đầu tư Phát triển Đô thị và Khu công nghiệp Sông Đà,Công ty Cổ phần Đầu tư Phát triển Đô thị và Khu công nghiệp Sông Đà,"Tòa nhà Sudico, đường Mễ Trì, phường Mỹ Đình 1, quận Nam Từ Liêm, thành phố Hà Nội",Bất động sản,"36,35%","36,35%","36,35%",,,0.3635,0.3635,0.3635
Công ty TNHH Tư vấn xây dựng Sông Đà - Ucrin,Công ty TNHH Tư vấn xây dựng Sông Đà - Ucrin,Công ty TNHH Tư vấn xây dựng Sông Đà - Ucrin,"Tầng 5 nhà G10, số 493 Nguyễn Trãi, Thanh Xuân Nam, Hà Nội",Dịch vụ tư vấn,"50,00%","50,00%","50,00%",,,0.5,0.5,0.5
Công ty Cổ phần Cao su Phú Riềng Kratie,Công ty Cổ phần Cao su Phú Riềng Kratie,Công ty Cổ phần Cao su Phú Riềng Kratie,"Thôn Phú Nguyên, xã Phú Riềng, huyện Phú Riềng, tỉnh Bình Phước","Sản xuất, xuất nhập khẩu cao su","25,00%","25,00%","25,00%",,,0.25,0.25,0.25
