row_label_raw,row_label_full,col_0,Dự phòng chungTriệu đồng,Dự phòng cụ thểTriệu đồng,Dự phòng cho vay giao dịch ký quỹ và ứng trướcTriệu đồng,Tổng cộng (Trình bày lại)Triệu đồng,numeric__Dự phòng chungTriệu đồng,numeric__Dự phòng cụ thểTriệu đồng,numeric__Dự phòng cho vay giao dịch ký quỹ và ứng trướcTriệu đồng,numeric__Tổng cộng (Trình bày lại)Triệu đồng
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,4.152.736,10.595.049,51.439,14.799.224,4152736.0,10595049.0,51439.0,14799224.0
Trích lập dự phòng rủi ro trong năm (Thuyết minh số 36),Trích lập dự phòng rủi ro trong năm (Thuyết minh số 36),Trích lập dự phòng rủi ro trong năm (Thuyết minh số 36),992.011,26.841.778,32.323,27.866.112,992011.0,26841778.0,32323.0,27866112.0
Sử dụng dự phòng xử lý rủi ro tín dụng và bán nợ trong năm,Sử dụng dự phòng xử lý rủi ro tín dụng và bán nợ trong năm,Sử dụng dự phòng xử lý rủi ro tín dụng và bán nợ trong năm,(65.472),(26.232.909),-,(26.298.381),-65472.0,-26232909.0,,-26298381.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,5.079.275,11.203.918,83.762,16.366.955,5079275.0,11203918.0,83762.0,16366955.0
