row_label_raw,row_label_full,col_0,Hoat độngngân hàngTriệu đồng,Hoat độngcông ty tài chínhTriệu đồng,Hoat độngquản lý nợ và khai thác tài sảnTriệu đồng,Hoạt độngchủng khoảnTriệu đồng,Hoạt độngbảo hiểmTriệu đồng,Điều chínhnội bộTriệu đồng,Tổng cộngTriệu đồng,numeric__Hoat độngngân hàngTriệu đồng,numeric__Hoat độngcông ty tài chínhTriệu đồng,numeric__Hoat độngquản lý nợ và khai thác tài sảnTriệu đồng,numeric__Hoạt độngchủng khoảnTriệu đồng,numeric__Hoạt độngbảo hiểmTriệu đồng,numeric__Điều chínhnội bộTriệu đồng,numeric__Tổng cộngTriệu đồng
I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,,,,,,,
Doanh thu lãi,I. Doanh thu > Doanh thu lãi,Doanh thu lãi,83.625.676,15.759.985,1.589,3.368.094,172.462,(1.668.852),101.258.954,83625676.0,15759985.0,1589.0,3368094.0,172462.0,-1668852.0,101258954.0
Lãi thuần từ hoạt động dịch vụ,I. Doanh thu > Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,4.088.555,1.638.231,-,1.203.568,594.937,(143.628),7.381.663,4088555.0,1638231.0,,1203568.0,594937.0,-143628.0,7381663.0
Lãi/(Lỗ) thuần từ hoạt động kinh doanh khác,I. Doanh thu > Lãi/(Lỗ) thuần từ hoạt động kinh doanh khác,Lãi/(Lỗ) thuần từ hoạt động kinh doanh khác,4.936.905,2.351.466,7.641,2.289.358,(4.186),(971.743),8.609.441,4936905.0,2351466.0,7641.0,2289358.0,-4186.0,-971743.0,8609441.0
,,,92.651.136,19.749.682,9.230,6.861.020,763.213,(2.784.223),117.250.058,92651136.0,19749682.0,9230.0,6861020.0,763213.0,-2784223.0,117250058.0
II. Chỉ phí,II. Chỉ phí,II. Chỉ phí,II. Chỉ phí,II. Chỉ phí,II. Chỉ phí,II. Chỉ phí,II. Chỉ phí,II. Chỉ phí,II. Chỉ phí,,,,,,,
Chỉ phí lãi,II. Chỉ phí > Chỉ phí lãi,Chỉ phí lãi,(39.269.589),(3.294.510),-,(1.488.300),-,1.456.158,(42.596.241),-39269589.0,-3294510.0,,-1488300.0,,1456158.0,-42596241.0
Chỉ phí khấu hao tài sản cố định,II. Chỉ phí > Chỉ phí khấu hao tài sản cố định,Chỉ phí khấu hao tài sản cố định,(467.745),(63.360),-,(9.816),(8.667),-,(549.588),-467745.0,-63360.0,,-9816.0,-8667.0,,-549588.0
Chỉ phí liên quan trực tiền đến hoạt động kinh doanh,II. Chỉ phí > Chỉ phí liên quan trực tiền đến hoạt động kinh doanh,Chỉ phí liên quan trực tiền đến hoạt động kinh doanh,(13.100.404),(3.908.878),(527),(809.466),(116.105),(145.351),(18.080.731),-13100404.0,-3908878.0,-527.0,-809466.0,-116105.0,-145351.0,-18080731.0
,,,(52.837.738),(7.266.748),(527),(2.307.582),(124.772),1.310.807,(61.226.560),-52837738.0,-7266748.0,-527.0,-2307582.0,-124772.0,1310807.0,-61226560.0
Kết quả kinh doanh trước chỉ phí dự phòng rủi ro,II. Chỉ phí > Kết quả kinh doanh trước chỉ phí dự phòng rủi ro,Kết quả kinh doanh trước chỉ phí dự phòng rủi ro,39.813.398,12.482.934,8.703,4.553.438,638.441,(1.473.416),56.023.498,39813398.0,12482934.0,8703.0,4553438.0,638441.0,-1473416.0,56023498.0
Chỉ phí dự phòng rủi ro tín dụng,II. Chỉ phí > Chỉ phí dự phòng rủi ro tín dụng,Chỉ phí dự phòng rủi ro tín dụng,(13.449.234),(11.871.462),-,(77.853),-,-,(25.398.549),-13449234.0,-11871462.0,,-77853.0,,,-25398549.0
Kết quả kinh doanh bộ phận,II. Chỉ phí > Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,26.364.164,611.472,8.703,4.475.585,638.441,(1.473.416),30.624.949,26364164.0,611472.0,8703.0,4475585.0,638441.0,-1473416.0,30624949.0
III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,,,,,,,
Tiền mặt,III. Tài sản > Tiền mặt,Tiền mặt,2.774.182,-,-,-,-,-,2.774.182,2774182.0,,,,,,2774182.0
Tải sản cố định,III. Tài sản > Tải sản cố định,Tải sản cố định,1.711.510,221.686,-,40.343,55.147,138,2.028.824,1711510.0,221686.0,,40343.0,55147.0,138.0,2028824.0
Tải sản khác,III. Tài sản > Tải sản khác,Tải sản khác,1.166.435.525,69.940.907,149.012,72.976.734,7.609.356,(61.764.944),1.255.346.590,1166435525.0,69940907.0,149012.0,72976734.0,7609356.0,-61764944.0,1255346590.0
,,,1.170.921.217,70.162.593,149.012,73.017.077,7.664.503,(61.764.806),1.260.149.596,1170921217.0,70162593.0,149012.0,73017077.0,7664503.0,-61764806.0,1260149596.0
IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,,,,,,,
Nợ phải trả khách hàng bên ngoài,IV. Nợ phải trả > Nợ phải trả khách hàng bên ngoài,Nợ phải trả khách hàng bên ngoài,1.002.356.728,57.651.928,44,23.098.793,-,(36.688.126),1.046.419.367,1002356728.0,57651928.0,44.0,23098793.0,,-36688126.0,1046419367.0
Nợ phải trả nội bộ,IV. Nợ phải trả > Nợ phải trả nội bộ,Nợ phải trả nội bộ,1.368.036,455,500,93.965,4.591,-,1.467.547,1368036.0,455.0,500.0,93965.0,4591.0,,1467547.0
Nợ phải trả khác,IV. Nợ phải trả > Nợ phải trả khác,Nợ phải trả khác,9.769.005,1.334.940,716,15.993.278,5.232.777,(343.663),31.987.053,9769005.0,1334940.0,716.0,15993278.0,5232777.0,-343663.0,31987053.0
,,,1.013.493.769,58.987.323,1.260,39.186.036,5.237.368,(37.031.789),1.079.873.967,1013493769.0,58987323.0,1260.0,39186036.0,5237368.0,-37031789.0,1079873967.0
