row_label_raw,row_label_full,Vay Ngân hàng Nhà nước Việt Nam,Ngày 31 tháng 12năm 2025Triệu đồng > 1.752,Ngày 31 tháng 12năm 2024Triệu đồng > 3.360,numeric__Ngày 31 tháng 12năm 2025Triệu đồng > 1.752,numeric__Ngày 31 tháng 12năm 2024Triệu đồng > 3.360
Vay khác,Vay khác,Vay khác,1.752,3.360,1752.0,3360.0
Tiền gửi của Kho bạc Nhà nước,Tiền gửi của Kho bạc Nhà nước,Tiền gửi của Kho bạc Nhà nước,13.553,2.353,13553.0,2353.0
Tiền gửi của Kho bạc Nhà nước bằng VND,Tiền gửi của Kho bạc Nhà nước bằng VND,Tiền gửi của Kho bạc Nhà nước bằng VND,13.553,2.353,13553.0,2353.0
,,,15.305,5.713,15305.0,5713.0
