row_label_raw,row_label_full,col_0,Ghi nhận giá trị hợp lý thông qua kết quả hoạt động kinh doanhTriệu đồng,Giữ đến ngày đáo hạnTriệu đồng,Cho vay và phải thuTriệu đồng,Sản sáng để bánTriệu đồng,Tài sản và nợ khác hạch toán theo giá trị phân bổTriệu đồng,Tổng cộng giá trị ghi sốTriệu đồng,Giá trị hợp lýTriệu đồng,numeric__Ghi nhận giá trị hợp lý thông qua kết quả hoạt động kinh doanhTriệu đồng,numeric__Giữ đến ngày đáo hạnTriệu đồng,numeric__Cho vay và phải thuTriệu đồng,numeric__Sản sáng để bánTriệu đồng,numeric__Tài sản và nợ khác hạch toán theo giá trị phân bổTriệu đồng,numeric__Tổng cộng giá trị ghi sốTriệu đồng,numeric__Giá trị hợp lýTriệu đồng
"Tiền mặt, vàng bạc, đá quỹ","Tiền mặt, vàng bạc, đá quỹ","Tiền mặt, vàng bạc, đá quỹ",-,-,2.774.182,-,-,2.774.182,2.774.182,,,2774182.0,,,2774182.0,2774182.0
Tiền gửi tại Ngân hàng Nhà nước Việt Nam,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,-,-,13.570.476,-,-,13.570.476,(*),,,13570476.0,,,13570476.0,
Tiền gửi và cấp tin dụng cho các Tổ chức tin dụng khác - gộp,Tiền gửi và cấp tin dụng cho các Tổ chức tin dụng khác - gộp,Tiền gửi và cấp tin dụng cho các Tổ chức tin dụng khác - gộp,-,-,186.228.938,-,-,186.228.938,(*),,,186228938.0,,,186228938.0,
Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,24.132.387,-,-,-,-,24.132.387,(*),24132387.0,,,,,24132387.0,
Cho vay khách hàng và mua nợ - gộp,Cho vay khách hàng và mua nợ - gộp,Cho vay khách hàng và mua nợ - gộp,-,-,945.263.265,-,-,945.263.265,(*),,,945263265.0,,,945263265.0,
Chứng khoán đầu tư sẵn sàng để bán - gộp,Chứng khoán đầu tư sẵn sàng để bán - gộp,Chứng khoán đầu tư sẵn sàng để bán - gộp,-,-,-,64.462.930,-,64.462.930,(*),,,,64462930.0,,64462930.0,
"Gộp vốn, đầu tư dài hạn - gộp","Gộp vốn, đầu tư dài hạn - gộp","Gộp vốn, đầu tư dài hạn - gộp",-,-,-,191.960,-,191.960,(*),,,,191960.0,,191960.0,
Tài sản tài chính khác,Tài sản tài chính khác,Tài sản tài chính khác,1.317.350,-,21.768.229,1.262.447,-,24.348.026,(*),1317350.0,,21768229.0,1262447.0,,24348026.0,
,,,25.449.737,-,1.169.605.090,65.917.337,-,1.260.972.164,,25449737.0,,1169605090.0,65917337.0,,1260972164.0,
Các khoản nợ Chính phủ và NHNN Việt Nam,Các khoản nợ Chính phủ và NHNN Việt Nam,Các khoản nợ Chính phủ và NHNN Việt Nam,-,-,-,-,15.305,15.305,(*),,,,,15305.0,15305.0,
"Tiền gửi và vay các Tổ chức tài chính, Tổ chức tin dụng khác","Tiền gửi và vay các Tổ chức tài chính, Tổ chức tin dụng khác","Tiền gửi và vay các Tổ chức tài chính, Tổ chức tin dụng khác",-,-,-,-,295.199.519,295.199.519,(*),,,,,295199519.0,295199519.0,
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,-,628.044.616,628.044.616,(*),,,,,628044616.0,628044616.0,
Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Công cụ tài chính phải sinh và các khoản nợ tài chính khác,843.382,-,-,-,-,843.382,(*),843382.0,,,,,843382.0,
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,-,16.394,16.394,(*),,,,,16394.0,16394.0,
Phát hành giấy tờ có giả,Phát hành giấy tờ có giả,Phát hành giấy tờ có giả,-,-,-,-,107.120.653,107.120.653,(*),,,,,107120653.0,107120653.0,
Các khoản nợ khác,Các khoản nợ khác,Các khoản nợ khác,1.043.483,-,-,-,37.498.484,38.541.967,(*),1043483.0,,,,37498484.0,38541967.0,
,,,1.886.865,-,-,-,1.067.894.971,1.069.781.836,,1886865.0,,,,1067894971.0,1069781836.0,
