row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2025 > Triệu đồng,Ngày 31 tháng 12 năm 2024 (Trình bày lại) > Triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2025 > Triệu đồng,numeric__Ngày 31 tháng 12 năm 2024 (Trình bày lại) > Triệu đồng
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,
"Tiền mặt, vàng bạc, đá quý","TÀI SẢN > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",5,2.774.182,2.148.289,5.0,2774182.0,2148289.0
"Tiền gửi tại Ngân hàng Nhà nước Việt Nam (""NHNN"")","TÀI SẢN > Tiền gửi tại Ngân hàng Nhà nước Việt Nam (""NHNN"")","Tiền gửi tại Ngân hàng Nhà nước Việt Nam (""NHNN"")",6,13.570.476,14.327.215,6.0,13570476.0,14327215.0
"Tiền gửi và cấp tín dụng cho các tổ chức tín dụng (""TCTD"") khác","TÀI SẢN > Tiền gửi và cấp tín dụng cho các tổ chức tín dụng (""TCTD"") khác","Tiền gửi và cấp tín dụng cho các tổ chức tín dụng (""TCTD"") khác",,186.228.938,134.643.662,,186228938.0,134643662.0
Tiền gửi tại các TCTD khác,TÀI SẢN > Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,7.1,178.800.339,126.527.280,71.0,178800339.0,126527280.0
Cấp tín dụng cho các TCTD khác,TÀI SẢN > Cấp tín dụng cho các TCTD khác,Cấp tín dụng cho các TCTD khác,7.2,7.428.599,8.116.382,72.0,7428599.0,8116382.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,8,23.960.121,13.110.971,8.0,23960121.0,13110971.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,,24.132.387,13.180.721,,24132387.0,13180721.0
Dự phòng rủi ro chứng khoán kinh doanh,TÀI SẢN > Dự phòng rủi ro chứng khoán kinh doanh,Dự phòng rủi ro chứng khoán kinh doanh,,(172.266),(69.750),,-172266.0,-69750.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,,926.472.659,681.404.168,,926472659.0,681404168.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,10,943.901.630,697.771.123,10.0,943901630.0,697771123.0
Dự phòng rủi ro cho vay khách hàng,TÀI SẢN > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,11,(17.428.971),(16.366.955),11.0,-17428971.0,-16366955.0
Hoạt động mua nợ,TÀI SẢN > Hoạt động mua nợ,Hoạt động mua nợ,12,1.351.423,799.825,12.0,1351423.0,799825.0
Mua nợ,TÀI SẢN > Mua nợ,Mua nợ,,1.361.635,805.869,,1361635.0,805869.0
Dự phòng rủi ro hoạt động mua nợ,TÀI SẢN > Dự phòng rủi ro hoạt động mua nợ,Dự phòng rủi ro hoạt động mua nợ,,(10.212),(6.044),,-10212.0,-6044.0
Chứng khoán đầu tư,TÀI SẢN > Chứng khoán đầu tư,Chứng khoán đầu tư,,64.434.066,52.783.054,,64434066.0,52783054.0
Chứng khoán đầu tư sẵn sàng để bản,TÀI SẢN > Chứng khoán đầu tư sẵn sàng để bản,Chứng khoán đầu tư sẵn sàng để bản,13.1,64.462.930,51.857.428,131.0,64462930.0,51857428.0
Chứng khoán đầu tư giữ đến ngày đáo hạn,TÀI SẢN > Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,13.2,-,992.927,132.0,,992927.0
Dự phòng rủi ro chứng khoán đầu tư,TÀI SẢN > Dự phòng rủi ro chứng khoán đầu tư,Dự phòng rủi ro chứng khoán đầu tư,"13.3 ,13.4",(28.864),(67.301),,-28864.0,-67301.0
"Góp vốn, đầu tư dài hạn","TÀI SẢN > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",14,191.960,189.210,14.0,191960.0,189210.0
Đầu tư dài hạn khác,TÀI SẢN > Đầu tư dài hạn khác,Đầu tư dài hạn khác,,191.960,189.210,,191960.0,189210.0
Tài sản cố định,TÀI SẢN > Tài sản cố định,Tài sản cố định,,2.028.824,2.023.899,,2028824.0,2023899.0
Tài sản cố định hữu hình,TÀI SẢN > Tài sản cố định hữu hình,Tài sản cố định hữu hình,15.1,1.479.269,1.437.082,151.0,1479269.0,1437082.0
Nguyễn giá tài sản cố định hữu hình,TÀI SẢN > Nguyễn giá tài sản cố định hữu hình,Nguyễn giá tài sản cố định hữu hình,,3.777.887,3.406.801,,3777887.0,3406801.0
