row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12năm 2025Triệu đồng,Ngày 31 tháng 12năm 2024Triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12năm 2025Triệu đồng,numeric__Ngày 31 tháng 12năm 2024Triệu đồng
Nghĩa vụ tiềm ăn và các cam kết đưa ra,Nghĩa vụ tiềm ăn và các cam kết đưa ra,Nghĩa vụ tiềm ăn và các cam kết đưa ra,40,1.050.492.773,690.753.389,40.0,1050492773.0,690753389.0
Bảo lãnh vay vốn,Bảo lãnh vay vốn,Bảo lãnh vay vốn,,11.447.240,848.721,,11447240.0,848721.0
Cam kết giao dịch hồi đoái,Cam kết giao dịch hồi đoái,Cam kết giao dịch hồi đoái,,545.548.779,300.000.752,,545548779.0,300000752.0
- Cam kết mua ngoại tệ,- Cam kết mua ngoại tệ,- Cam kết mua ngoại tệ,,6.965.590,2.972.620,,6965590.0,2972620.0
- Cam kết bán ngoại tệ,- Cam kết bán ngoại tệ,- Cam kết bán ngoại tệ,,9.281.743,1.955.905,,9281743.0,1955905.0
- Cam kết nhận - giao dịch hoàn đối tiên tệ,- Cam kết nhận - giao dịch hoàn đối tiên tệ,- Cam kết nhận - giao dịch hoàn đối tiên tệ,,264.549.403,147.811.792,,264549403.0,147811792.0
- Cam kết trả - giao dịch hoàn đối tiên tệ,- Cam kết trả - giao dịch hoàn đối tiên tệ,- Cam kết trả - giao dịch hoàn đối tiên tệ,,264.752.043,147.260.435,,264752043.0,147260435.0
Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,,19.751.533,16.461.049,,19751533.0,16461049.0
Bảo lãnh khác,Bảo lãnh khác,Bảo lãnh khác,,50.911.375,26.008.227,,50911375.0,26008227.0
Các cam kết khác,Các cam kết khác,Các cam kết khác,,422.833.846,347.434.640,,422833846.0,347434640.0
Trong đó: Hạn mức tín dụng chưa sử dụngcó thể hủy ngang,Trong đó: Hạn mức tín dụng chưa sử dụngcó thể hủy ngang,Trong đó: Hạn mức tín dụng chưa sử dụngcó thể hủy ngang,,294.728.542,229.511.446,,294728542.0,229511446.0
Các khoản mục ngoại bảng khác,Các khoản mục ngoại bảng khác,Các khoản mục ngoại bảng khác,41,316.568.156,212.782.373,41.0,316568156.0,212782373.0
Lãi cho vay và phí phải thu chưa thu được,Lãi cho vay và phí phải thu chưa thu được,Lãi cho vay và phí phải thu chưa thu được,41.1,6.286.715,7.668.183,411.0,6286715.0,7668183.0
Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,41.2,116.784.980,82.187.400,412.0,116784980.0,82187400.0
Tải sản và chứng từ khác,Tải sản và chứng từ khác,Tải sản và chứng từ khác,41.3,193.496.461,122.926.790,413.0,193496461.0,122926790.0
,,,,1.367.060.929,903.535.762,,1367060929.0,903535762.0
