row_label_raw,row_label_full,col_0,Số dư đầuTriệu đồng,Phát sinh trong năm,Phát sinh trong năm_1,Phát sinh trong năm_2,numeric__Số dư đầuTriệu đồng,numeric__Phát sinh trong năm,numeric__Phát sinh trong năm_1,numeric__Phát sinh trong năm_2
,,,Số dư đầuTriệu đồng,Số phải nộpvà điều chỉnhTriệu đồng,Số đã nộpTriệu đồng,Số dư cuốiTriệu đồng,,,,
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,115.620,935.947,(879.329),172.238,115620.0,935947.0,-879329.0,172238.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,2.320.313,6.216.323,(4.127.774),4.408.862,2320313.0,6216323.0,-4127774.0,4408862.0
Thuế khác,Thuế khác,Thuế khác,140.525,1.866.747,(1.876.220),131.052,140525.0,1866747.0,-1876220.0,131052.0
,,,2.576.458,9.019.017,(6.883.323),4.712.152,2576458.0,9019017.0,-6883323.0,4712152.0
