row_label_raw,row_label_full,col_0,Thuyết minh,Năm 2025Triệu đồng,Năm 2024(Trình bày lại)Triệu đồng,numeric__Thuyết minh,numeric__Năm 2025Triệu đồng,numeric__Năm 2024(Trình bày lại)Triệu đồng
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,27,101.258.954,81.033.640,27.0,101258954.0,81033640.0
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,28,(42.596.241),(31.031.238),28.0,-42596241.0,-31031238.0
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,,58.662.713,50.002.402,,58662713.0,50002402.0
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,,15.030.415,12.279.665,,15030415.0,12279665.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,,(7.648.752),(7.075.337),,-7648752.0,-7075337.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,29,7.381.663,5.204.328,29.0,7381663.0,5204328.0
Lãi thuần từ hoạt động kinh doanh ngoại hồi,Lãi thuần từ hoạt động kinh doanh ngoại hồi,Lãi thuần từ hoạt động kinh doanh ngoại hồi,30,297.016,827.240,30.0,297016.0,827240.0
Lãi thuần từ mua bán chứng khoán kinh doanh,Lãi thuần từ mua bán chứng khoán kinh doanh,Lãi thuần từ mua bán chứng khoán kinh doanh,31,1.566.648,360.956,31.0,1566648.0,360956.0
Lãi thuần từ mua bán chứng khoán đầu tư,Lãi thuần từ mua bán chứng khoán đầu tư,Lãi thuần từ mua bán chứng khoán đầu tư,32,4.456,469.667,32.0,4456.0,469667.0
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,,10.875.443,9.559.809,,10875443.0,9559809.0
Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,,(4.169.283),(4.182.147),,-4169283.0,-4182147.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,33,6.706.160,5.377.662,33.0,6706160.0,5377662.0
Thu nhập từ góp vốn mua cổ phần,Thu nhập từ góp vốn mua cổ phần,Thu nhập từ góp vốn mua cổ phần,34,35.161,12.801,34.0,35161.0,12801.0
TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,,74.653.817,62.255.056,,74653817.0,62255056.0
TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,35,(18.630.319),(14.339.732),35.0,-18630319.0,-14339732.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tin dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tin dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tin dụng,,56.023.498,47.915.324,,56023498.0,47915324.0
Chi phí dự phòng rủi ro tin dụng,Chi phí dự phòng rủi ro tin dụng,Chi phí dự phòng rủi ro tin dụng,36,(25.398.549),(27.902.624),36.0,-25398549.0,-27902624.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,,30.624.949,20.012.700,,30624949.0,20012700.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,24.1,(6.170.628),(3.962.779),241.0,-6170628.0,-3962779.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,(99.725),(63.095),,-99725.0,-63095.0
Tổng chi phí thuế thu nhập doanh nghiệp,Tổng chi phí thuế thu nhập doanh nghiệp,Tổng chi phí thuế thu nhập doanh nghiệp,,(6.270.353),(4.025.874),,-6270353.0,-4025874.0
LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,,24.354.596,15.986.826,,24354596.0,15986826.0
Lợi ích của cổ đông không kiểm soát,Lợi ích của cổ đông không kiểm soát,Lợi ích của cổ đông không kiểm soát,,364.666,208.031,,364666.0,208031.0
Lợi nhuận thuần của cổ đông ngân hàng,Lợi nhuận thuần của cổ đông ngân hàng,Lợi nhuận thuần của cổ đông ngân hàng,,23.989.930,15.778.795,,23989930.0,15778795.0
Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),26,3.024,1.989,26.0,3024.0,1989.0
