row_label_raw,row_label_full,col_0,Năm 2025,Năm 2024(Trình bày lại),numeric__Năm 2025,numeric__Năm 2024(Trình bày lại)
,,,Triệu đồng,Triệu đồng,,
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,15.030.415,12.279.665,15030415.0,12279665.0
Thu từ dịch vụ thanh toán và ngân quỹ,Thu từ dịch vụ thanh toán và ngân quỹ,Thu từ dịch vụ thanh toán và ngân quỹ,2.119.913,3.484.132,2119913.0,3484132.0
Thu từ dịch vụ tư vấn,Thu từ dịch vụ tư vấn,Thu từ dịch vụ tư vấn,974.406,139.026,974406.0,139026.0
Thu từ kinh doanh và dịch vụ bảo hiểm,Thu từ kinh doanh và dịch vụ bảo hiểm,Thu từ kinh doanh và dịch vụ bảo hiểm,5.905.108,4.150.911,5905108.0,4150911.0
Thu phí liên quan đến các loại thể,Thu phí liên quan đến các loại thể,Thu phí liên quan đến các loại thể,2.249.087,2.446.882,2249087.0,2446882.0
Thu khác,Thu khác,Thu khác,3.781.901,2.058.714,3781901.0,2058714.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,(7.648.752),(7.075.337),-7648752.0,-7075337.0
Chi về dịch vụ thanh toán và ngân quỹ,Chi về dịch vụ thanh toán và ngân quỹ,Chi về dịch vụ thanh toán và ngân quỹ,(1.390.462),(2.135.183),-1390462.0,-2135183.0
Chi dịch vụ tư vấn,Chi dịch vụ tư vấn,Chi dịch vụ tư vấn,(6.198),(73),-6198.0,-73.0
Chi về dịch vụ bảo hiểm,Chi về dịch vụ bảo hiểm,Chi về dịch vụ bảo hiểm,(2.128.179),(1.035.286),-2128179.0,-1035286.0
Hoa hồng môi giới,Hoa hồng môi giới,Hoa hồng môi giới,(784.060),(447.900),-784060.0,-447900.0
Chi cho hoạt động thể,Chi cho hoạt động thể,Chi cho hoạt động thể,(1.322.247),(1.259.668),-1322247.0,-1259668.0
Chi khác,Chi khác,Chi khác,(2.017.606),(2.197.227),-2017606.0,-2197227.0
,,,7.381.663,5.204.328,7381663.0,5204328.0
