row_label_raw,row_label_full,col_0,Triệu đồng,numeric__Triệu đồng
Tăng lợi nhuận do tăng thu nhập lãi thuần,Tăng lợi nhuận do tăng thu nhập lãi thuần,Tăng lợi nhuận do tăng thu nhập lãi thuần,8.660.311,8660311.0
Tăng lợi nhuận do tăng thu nhập thuần từ hoạt động dịch vụ,Tăng lợi nhuận do tăng thu nhập thuần từ hoạt động dịch vụ,Tăng lợi nhuận do tăng thu nhập thuần từ hoạt động dịch vụ,2.177.335,2177335.0
Giảm lợi nhuận do giảm thu nhập thuần từ hoạt động kinh doanh ngoại hối và vàng,Giảm lợi nhuận do giảm thu nhập thuần từ hoạt động kinh doanh ngoại hối và vàng,Giảm lợi nhuận do giảm thu nhập thuần từ hoạt động kinh doanh ngoại hối và vàng,(530.224),-530224.0
Tăng lợi nhuận do tăng thu nhập thuần từ hoạt động mua bán chứng khoản kinh doanh,Tăng lợi nhuận do tăng thu nhập thuần từ hoạt động mua bán chứng khoản kinh doanh,Tăng lợi nhuận do tăng thu nhập thuần từ hoạt động mua bán chứng khoản kinh doanh,1.205.692,1205692.0
Giảm lợi nhuận do giảm thu nhập thuần từ hoạt động mua bán chứng khoản đầu tư,Giảm lợi nhuận do giảm thu nhập thuần từ hoạt động mua bán chứng khoản đầu tư,Giảm lợi nhuận do giảm thu nhập thuần từ hoạt động mua bán chứng khoản đầu tư,(465.211),-465211.0
Tăng lợi nhuận do tăng thu nhập thuần từ hoạt động khác,Tăng lợi nhuận do tăng thu nhập thuần từ hoạt động khác,Tăng lợi nhuận do tăng thu nhập thuần từ hoạt động khác,1.328.498,1328498.0
Tăng lợi nhuận do tăng thu nhập từ góp vốn mua cổ phần,Tăng lợi nhuận do tăng thu nhập từ góp vốn mua cổ phần,Tăng lợi nhuận do tăng thu nhập từ góp vốn mua cổ phần,22.360,22360.0
Giảm lợi nhuận do tăng chi phí hoạt động,Giảm lợi nhuận do tăng chi phí hoạt động,Giảm lợi nhuận do tăng chi phí hoạt động,(4.290.587),-4290587.0
Tăng lợi nhuận do giảm chi phí dự phòng rủi ro tín dụng,Tăng lợi nhuận do giảm chi phí dự phòng rủi ro tín dụng,Tăng lợi nhuận do giảm chi phí dự phòng rủi ro tín dụng,2.504.075,2504075.0
Biến động lợi nhuận trước thuế,Biến động lợi nhuận trước thuế,Biến động lợi nhuận trước thuế,10.612.249,10612249.0
Biến động thuế thu nhập doanh nghiệp,Biến động thuế thu nhập doanh nghiệp,Biến động thuế thu nhập doanh nghiệp,(2.244.479),-2244479.0
Biến động lợi nhuận sau thuế,Biến động lợi nhuận sau thuế,Biến động lợi nhuận sau thuế,8.367.770,8367770.0
