row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2025,Tổng giá trị hợp đồng (tỷ giá ngày hiệu lực hợp đồng)Triệu đồng > Tại ngày 31 tháng 12 năm 2025,Tổng giá trị ghi sổ kế toán(theo tỷ giá tại ngày lập báo cáo) > Dòng tiền vàoTriệu đồng > Tại ngày 31 tháng 12 năm 2025,Tổng giá trị ghi sổ kế toán(theo tỷ giá tại ngày lập báo cáo) > Dòng tiền raTriệu đồng > Tại ngày 31 tháng 12 năm 2025,Tổng giá trị ghi sổ kế toán(theo tỷ giá tại ngày lập báo cáo) > Giá trị thuầnTriệu đồng > Tại ngày 31 tháng 12 năm 2025,numeric__Tổng giá trị hợp đồng (tỷ giá ngày hiệu lực hợp đồng)Triệu đồng > Tại ngày 31 tháng 12 năm 2025,numeric__Tổng giá trị ghi sổ kế toán(theo tỷ giá tại ngày lập báo cáo) > Dòng tiền vàoTriệu đồng > Tại ngày 31 tháng 12 năm 2025,numeric__Tổng giá trị ghi sổ kế toán(theo tỷ giá tại ngày lập báo cáo) > Dòng tiền raTriệu đồng > Tại ngày 31 tháng 12 năm 2025,numeric__Tổng giá trị ghi sổ kế toán(theo tỷ giá tại ngày lập báo cáo) > Giá trị thuầnTriệu đồng > Tại ngày 31 tháng 12 năm 2025
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,282.436.712,275.452.549,(275.808.270),(355.721),282436712.0,275452549.0,-275808270.0,-355721.0
Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,24.642.959,24.505.404,(24.667.042),(161.638),24642959.0,24505404.0,-24667042.0,-161638.0
Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,257.793.753,250.947.145,(251.141.228),(194.083),257793753.0,250947145.0,-251141228.0,-194083.0
Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,70.657.830,46.229.090,(46.716.751),(487.661),70657830.0,46229090.0,-46716751.0,-487661.0
,,,353.094.542,321.681.639,(322.525.021),(843.382),353094542.0,321681639.0,-322525021.0,-843382.0
Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,,,,
Công cụ tài chính phải sinh tiền tệ,Tại ngày 31 tháng 12 năm 2024 > Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,175.293.112,169.487.982,(168.891.987),595.995,175293112.0,169487982.0,-168891987.0,595995.0
Giao dịch kỳ hạn tiền tệ,Tại ngày 31 tháng 12 năm 2024 > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,36.417.208,36.108.740,(36.071.453),37.287,36417208.0,36108740.0,-36071453.0,37287.0
Giao dịch hoán đổi tiền tệ,Tại ngày 31 tháng 12 năm 2024 > Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,138.875.904,133.379.242,(132.820.534),558.708,138875904.0,133379242.0,-132820534.0,558708.0
Công cụ tài chính phải sinh khác,Tại ngày 31 tháng 12 năm 2024 > Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,74.713.435,24.329.165,(24.953.217),(624.052),74713435.0,24329165.0,-24953217.0,-624052.0
,,,250.006.547,193.817.147,(193.845.204),(28.057),250006547.0,193817147.0,-193845204.0,-28057.0
