row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Mãy mócthiết bịTriệu đồng,Phương tiệnvận tảiTriệu đồng,Thiết bị dụngcụ quản lýTriệu đồng,Tài sản cố định khácTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Mãy mócthiết bịTriệu đồng,numeric__Phương tiệnvận tảiTriệu đồng,numeric__Thiết bị dụngcụ quản lýTriệu đồng,numeric__Tài sản cố định khácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.017.139,1.891.615,225.974,217.976,54.097,3.406.801,1017139.0,1891615.0,225974.0,217976.0,54097.0,3406801.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,25.511,48.941,13.741,-,88.193,,25511.0,48941.0,13741.0,,88193.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,-,292.298,-,28.251,-,320.549,,292298.0,,28251.0,,320549.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(4.932),(7.610),(10.251),(14.863),(37.656),,-4932.0,-7610.0,-10251.0,-14863.0,-37656.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.017.139,2.204.492,267.305,249.717,39.234,3.777.887,1017139.0,2204492.0,267305.0,249717.0,39234.0,3777887.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Số dư đầu năm,Giá trị khấu hao lũy kế > Số dư đầu năm,Số dư đầu năm,198.912,1.403.389,149.215,164.113,54.090,1.969.719,198912.0,1403389.0,149215.0,164113.0,54090.0,1969719.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,26.412,282.003,25.735,32.343,7,366.500,26412.0,282003.0,25735.0,32343.0,7.0,366500.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(4.886),(7.610),(10.242),(14.863),(37.601),,-4886.0,-7610.0,-10242.0,-14863.0,-37601.0
Số dư cuối năm,Giá trị khấu hao lũy kế > Số dư cuối năm,Số dư cuối năm,225.324,1.680.506,167.340,186.214,39.234,2.298.618,225324.0,1680506.0,167340.0,186214.0,39234.0,2298618.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,818.227,488.226,76.759,53.863,7,1.437.082,818227.0,488226.0,76759.0,53863.0,7.0,1437082.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,791.815,523.986,99.965,63.503,-,1.479.269,791815.0,523986.0,99965.0,63503.0,,1479269.0
