row_label_raw,row_label_full,col_0,Năm 2024(Dã được trìnhbảy trước đây)triệu đồng,Phân loại lạitriệu đồng,Năm 2024(Phân loại lại)triệu đồng,numeric__Năm 2024(Dã được trìnhbảy trước đây)triệu đồng,numeric__Phân loại lạitriệu đồng,numeric__Năm 2024(Phân loại lại)triệu đồng
Bảo cáo kết quả hoạt động hợp nhất,Bảo cáo kết quả hoạt động hợp nhất,Bảo cáo kết quả hoạt động hợp nhất,Bảo cáo kết quả hoạt động hợp nhất,Bảo cáo kết quả hoạt động hợp nhất,Bảo cáo kết quả hoạt động hợp nhất,,,
Thu nhập lãi và các khoản thu nhập tương tự,Bảo cáo kết quả hoạt động hợp nhất > Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,80.111.645,921.995,81.033.640,80111645.0,921995.0,81033640.0
Thu nhập lãi thuần,Bảo cáo kết quả hoạt động hợp nhất > Thu nhập lãi thuần,Thu nhập lãi thuần,49.080.407,921.995,50.002.402,49080407.0,921995.0,50002402.0
Thu nhập từ hoạt động dịch vụ,Bảo cáo kết quả hoạt động hợp nhất > Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,13.201.660,(921.995),12.279.665,13201660.0,-921995.0,12279665.0
Lãi thuần từ hoạt động dịch vụ,Bảo cáo kết quả hoạt động hợp nhất > Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,6.126.323,(921.995),5.204.328,6126323.0,-921995.0,5204328.0
Bảo cáo lưu chuyển tiền tệ hợp nhất,Bảo cáo lưu chuyển tiền tệ hợp nhất,Bảo cáo lưu chuyển tiền tệ hợp nhất,Bảo cáo lưu chuyển tiền tệ hợp nhất,Bảo cáo lưu chuyển tiền tệ hợp nhất,Bảo cáo lưu chuyển tiền tệ hợp nhất,,,
Thu nhập lãi và các khoản thu nhập tương tự nhận được,Bảo cáo lưu chuyển tiền tệ hợp nhất > Thu nhập lãi và các khoản thu nhập tương tự nhận được,Thu nhập lãi và các khoản thu nhập tương tự nhận được,79.761.557,921.995,80.683.552,79761557.0,921995.0,80683552.0
Thu nhập từ hoạt động dịch vụ nhận được,Bảo cáo lưu chuyển tiền tệ hợp nhất > Thu nhập từ hoạt động dịch vụ nhận được,Thu nhập từ hoạt động dịch vụ nhận được,6.885.044,(921.995),5.963.049,6885044.0,-921995.0,5963049.0
Tăng các khoản cho vay khách hàng và mua nợ,Bảo cáo lưu chuyển tiền tệ hợp nhất > Tăng các khoản cho vay khách hàng và mua nợ,Tăng các khoản cho vay khách hàng và mua nợ,(129.369.500),23.104.751,(106.264.749),-129369500.0,23104751.0,-106264749.0
Giảm/tăng khác về tài sản hoạt động,Bảo cáo lưu chuyển tiền tệ hợp nhất > Giảm/tăng khác về tài sản hoạt động,Giảm/tăng khác về tài sản hoạt động,22.837.018,(23.104.751),(267.733),22837018.0,-23104751.0,-267733.0
