row_label_raw,row_label_full,Bên liên quan,Giao dịch,Số dư phải thu/(phải trả),Số dư phải thu/(phải trả)_1,numeric__Giao dịch,numeric__Số dư phải thu/(phải trả),numeric__Số dư phải thu/(phải trả)_1
Bên liên quan,Bên liên quan,Bên liên quan,Giao dịch,Ngày 31 tháng 12năm 2025Triệu đồng,Ngày 31 tháng 12năm 2024Triệu đồng,,,
Công ty TNHHMTV EFFEXI,Bên liên quan > Công ty TNHHMTV EFFEXI,Công ty TNHHMTV EFFEXI,Tiền gửi không kỳ hạn,(209),(227),,-209.0,-227.0
Công ty TNHHMTV Rostra,Bên liên quan > Công ty TNHHMTV Rostra,Công ty TNHHMTV Rostra,Tiền gửi không kỳ hạn,(3.463),(6.248),,-3463.0,-6248.0
Công ty cổ phần Diera Corp,Bên liên quan > Công ty cổ phần Diera Corp,Công ty cổ phần Diera Corp,Tiền gửi không kỳ hạn,(4.960),(2.623),,-4960.0,-2623.0
Công ty TNHHMTV XưởngPhim Mâu Hồng,Bên liên quan > Công ty TNHHMTV XưởngPhim Mâu Hồng,Công ty TNHHMTV XưởngPhim Mâu Hồng,Tiền gửi không kỳ hạn,(210),(101),,-210.0,-101.0
Công ty TNHHMTV Tia NắngHạ,Bên liên quan > Công ty TNHHMTV Tia NắngHạ,Công ty TNHHMTV Tia NắngHạ,Tiền gửi không kỳ hạn,(1.143),(52),,-1143.0,-52.0
Công ty TNHHMTV Tia NắngHạ,Bên liên quan > Công ty TNHHMTV Tia NắngHạ,Công ty TNHHMTV Tia NắngHạ,Tiền gửi có kỳ hạn,(4.000),(2.150),,-4000.0,-2150.0
Công ty TNHHMTV Tia NắngHạ,Bên liên quan > Công ty TNHHMTV Tia NắngHạ,Công ty TNHHMTV Tia NắngHạ,Lãi phải trả tiền gửi,(16),(2),,-16.0,-2.0
Công tyCổ phầnEurowindow,Bên liên quan > Công tyCổ phầnEurowindow,Công tyCổ phầnEurowindow,Tiền gửi không kỳ hạn,(353),-,,-353.0,
Công tyCổ phầnEurowindow,Bên liên quan > Công tyCổ phầnEurowindow,Công tyCổ phầnEurowindow,Cho vay khách hàng,321.860,-,,321860.0,
Công tyCổ phầnEurowindow,Bên liên quan > Công tyCổ phầnEurowindow,Công tyCổ phầnEurowindow,Phải thu lãi tiền vay,781,-,,781.0,
CTCP-TCTcông trìnhđường sắt ViệtNam,Bên liên quan > CTCP-TCTcông trìnhđường sắt ViệtNam,CTCP-TCTcông trìnhđường sắt ViệtNam,Tiền gửi không kỳ hạn,(30.533),-,,-30533.0,
"Các thành viênHDQT, BKS,Ban TGD vàcác cá nhân cóliên quan","Bên liên quan > Các thành viênHDQT, BKS,Ban TGD vàcác cá nhân cóliên quan","Các thành viênHDQT, BKS,Ban TGD vàcác cá nhân cóliên quan",Tiền gửi có kỳ hạn và giấy tờ cógiá,(310.386),(64.710),,-310386.0,-64710.0
"Các thành viênHDQT, BKS,Ban TGD vàcác cá nhân cóliên quan","Bên liên quan > Các thành viênHDQT, BKS,Ban TGD vàcác cá nhân cóliên quan","Các thành viênHDQT, BKS,Ban TGD vàcác cá nhân cóliên quan",Tiền gửi không kỳ hạn tại Ngân hàng,(21.872),(28.716),,-21872.0,-28716.0
"Các thành viênHDQT, BKS,Ban TGD vàcác cá nhân cóliên quan","Bên liên quan > Các thành viênHDQT, BKS,Ban TGD vàcác cá nhân cóliên quan","Các thành viênHDQT, BKS,Ban TGD vàcác cá nhân cóliên quan",Phải trả lãi tiền gửi và giấy tờ có giá,(1.973),(301),,-1973.0,-301.0
"Các thành viênHDQT, BKS,Ban TGD vàcác cá nhân cóliên quan","Bên liên quan > Các thành viênHDQT, BKS,Ban TGD vàcác cá nhân cóliên quan","Các thành viênHDQT, BKS,Ban TGD vàcác cá nhân cóliên quan",Thể tín dụng,9.218,1.006,,9218.0,1006.0
