row_label_raw,row_label_full,col_0,Dự phòng chungTriệu đồng,Dự phòng cụ thểTriệu đồng,Dự phòng cho vay giao dịch ký quỹ và ứng trướcTriệu đồng,Tổng cộng (Trình bày lại)Triệu đồng,numeric__Dự phòng chungTriệu đồng,numeric__Dự phòng cụ thểTriệu đồng,numeric__Dự phòng cho vay giao dịch ký quỹ và ứng trướcTriệu đồng,numeric__Tổng cộng (Trình bày lại)Triệu đồng
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,5.079.275,11.203.918,83.762,16.366.955,5079275.0,11203918.0,83762.0,16366955.0
Trích lập dự phòng rủi ro trong năm (Thuyết minh số 36),Trích lập dự phòng rủi ro trong năm (Thuyết minh số 36),Trích lập dự phòng rủi ro trong năm (Thuyết minh số 36),1.765.033,23.551.496,77.852,25.394.381,1765033.0,23551496.0,77852.0,25394381.0
Sử dụng dự phòng xử lý rủi ro tín dụng và bán nợ trong năm,Sử dụng dự phòng xử lý rủi ro tín dụng và bán nợ trong năm,Sử dụng dự phòng xử lý rủi ro tín dụng và bán nợ trong năm,(89.476),(24.242.889),-,(24.332.365),-89476.0,-24242889.0,,-24332365.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,6.754.832,10.512.525,161.614,17.428.971,6754832.0,10512525.0,161614.0,17428971.0
