row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Tổng cộng,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Tổng cộng
,,,Trên 3thángTriệu đồng,Đến 3 thángTriệu đồng,Đến 1 thángTriệu đồng,Từ 1 đến 3thángTriệu đồng,Từ 3 đến 12thángTriệu đồng,Từ 1 đến 5nămTriệu đồng,Trên 5 nămTriệu đồng,Tổng cộng,,,,,,,,
Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,,,,,,,,
"Tiền mặt, vàng bạc, đá quỹ","Tải sản > Tiền mặt, vàng bạc, đá quỹ","Tiền mặt, vàng bạc, đá quỹ",-,-,2.774.182,-,-,-,-,2.774.182,,,2774182.0,,,,,2774182.0
Tiền gửi tại Ngân hàng Nhà nước Việt Nam,Tải sản > Tiền gửi tại Ngân hàng Nhà nước Việt Nam,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,-,-,13.570.476,-,-,-,-,13.570.476,,,13570476.0,,,,,13570476.0
Tiền gửi và cấp tin dụng cho các TCTD khác - gộp,Tải sản > Tiền gửi và cấp tin dụng cho các TCTD khác - gộp,Tiền gửi và cấp tin dụng cho các TCTD khác - gộp,-,-,184.462.989,138.040,1.627.909,-,-,186.228.938,,,184462989.0,138040.0,1627909.0,,,186228938.0
Chứng khoán kinh doanh - gộp,Tải sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,-,23.732.486,399.901,-,-,-,24.132.387,,,23732486.0,399901.0,,,,24132387.0
Cho vay khách hàng và mua nợ - gộp,Tải sản > Cho vay khách hàng và mua nợ - gộp,Cho vay khách hàng và mua nợ - gộp,17.789.480,8.113.869,106.451.697,116.938.435,229.484.972,323.724.016,142.760.796,945.263.265,17789480.0,8113869.0,106451697.0,116938435.0,229484972.0,323724016.0,142760796.0,945263265.0
Chứng khoán đầu tư - gộp,Tải sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,-,10.121.477,3.632.908,11.610.520,24.391.434,14.706.591,64.462.930,,,10121477.0,3632908.0,11610520.0,24391434.0,14706591.0,64462930.0
"Gộp vốn, đầu tư dài hạn - gộp","Tải sản > Gộp vốn, đầu tư dài hạn - gộp","Gộp vốn, đầu tư dài hạn - gộp",-,-,-,-,-,2.750,189.210,191.960,,,,,,2750.0,189210.0,191960.0
Tải sản cố định,Tải sản > Tải sản cố định,Tải sản cố định,-,-,-,-,197,40.146,1.988.481,2.028.824,,,,,197.0,40146.0,1988481.0,2028824.0
