row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2025,Ngày 31 tháng 12năm 2024(Trình bày lại),numeric__Ngày 31 tháng 12năm 2025,numeric__Ngày 31 tháng 12năm 2024(Trình bày lại)
,,,Triệu đồng,Triệu đồng,,
Các khoản phải thu nội bộ,Các khoản phải thu nội bộ,Các khoản phải thu nội bộ,571.962,281.942,571962.0,281942.0
Các khoản phải thu bên ngoài,Các khoản phải thu bên ngoài,Các khoản phải thu bên ngoài,11.432.753,6.143.905,11432753.0,6143905.0
- Mua hẩn miễn truy đổi bộ chứng từ theothư tin dụng do chính VPBank phát hành,- Mua hẩn miễn truy đổi bộ chứng từ theothư tin dụng do chính VPBank phát hành,- Mua hẩn miễn truy đổi bộ chứng từ theothư tin dụng do chính VPBank phát hành,3.197.773,162.855,3197773.0,162855.0
- Mua hẩn miễn truy đổi bộ chứng từ theothur tin dụng do TCTD khác phát hành,- Mua hẩn miễn truy đổi bộ chứng từ theothur tin dụng do TCTD khác phát hành,- Mua hẩn miễn truy đổi bộ chứng từ theothur tin dụng do TCTD khác phát hành,87.709,-,87709.0,
- Kỷ quỹ và khoản phải thu hợp đồng tươnglai trái phiếu Chính phủ,- Kỷ quỹ và khoản phải thu hợp đồng tươnglai trái phiếu Chính phủ,- Kỷ quỹ và khoản phải thu hợp đồng tươnglai trái phiếu Chính phủ,36.061,21.168,36061.0,21168.0
- Đặt cọc theo các hợp đồng kinh tế,- Đặt cọc theo các hợp đồng kinh tế,- Đặt cọc theo các hợp đồng kinh tế,2.163.423,1.365.794,2163423.0,1365794.0
- Phải thu bán tải sản tài chính,- Phải thu bán tải sản tài chính,- Phải thu bán tải sản tài chính,453.295,84.077,453295.0,84077.0
- Phải thu về hoạt động thanh toán,- Phải thu về hoạt động thanh toán,- Phải thu về hoạt động thanh toán,2.169.215,1.414.058,2169215.0,1414058.0
- Tạm ứng nhà cung cấp,- Tạm ứng nhà cung cấp,- Tạm ứng nhà cung cấp,400.932,363.998,400932.0,363998.0
- Dự phòng phí và bồi thường nghiệp vụnhượng tái bảo hiểm,- Dự phòng phí và bồi thường nghiệp vụnhượng tái bảo hiểm,- Dự phòng phí và bồi thường nghiệp vụnhượng tái bảo hiểm,1.311.633,518.012,1311633.0,518012.0
- Phải thu bên ngoài khác,- Phải thu bên ngoài khác,- Phải thu bên ngoài khác,1.612.712,2.213.943,1612712.0,2213943.0
Mua sắm tài sản cố định,Mua sắm tài sản cố định,Mua sắm tài sản cố định,5.474.874,85.071,5474874.0,85071.0
Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,43.092,5.017,43092.0,5017.0
,,,17.522.681,6.515.935,17522681.0,6515935.0
