row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2025,Ngày 31 tháng 12năm 2025_1,Ngày 31 tháng 12năm 2024(Trình bày lại),Ngày 31 tháng 12năm 2024(Trình bày lại)_1,numeric__Ngày 31 tháng 12năm 2025,numeric__Ngày 31 tháng 12năm 2025_1,numeric__Ngày 31 tháng 12năm 2024(Trình bày lại),numeric__Ngày 31 tháng 12năm 2024(Trình bày lại)_1
,,,Triệu đồng,%,Triệu đồng,%,,,,
"Nông nghiệp, lâm nghiệp và thủy sản","Nông nghiệp, lâm nghiệp và thủy sản","Nông nghiệp, lâm nghiệp và thủy sản",2.443.131,"0,26",2.104.559,"0,30",2443131.0,0.26,2104559.0,0.3
Khai khoáng,Khai khoáng,Khai khoáng,1.199.188,"0,13",1.519.641,"0,22",1199188.0,0.13,1519641.0,0.22
"Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo",44.324.951,"4,70",31.042.642,"4,45",44324951.0,4.7,31042642.0,4.45
"Sản xuất và phân phối điện, khí đốt,nước nóng, hơi nước và điều hoàkhông khí","Sản xuất và phân phối điện, khí đốt,nước nóng, hơi nước và điều hoàkhông khí","Sản xuất và phân phối điện, khí đốt,nước nóng, hơi nước và điều hoàkhông khí",1.038.628,"0,11",861.118,"0,12",1038628.0,0.11,861118.0,0.12
"Cung cấp nước; hoạt động quản lý vàxử lý rác thải, nước thải","Cung cấp nước; hoạt động quản lý vàxử lý rác thải, nước thải","Cung cấp nước; hoạt động quản lý vàxử lý rác thải, nước thải",193.891,"0,02",146.670,"0,02",193891.0,0.02,146670.0,0.02
Xây dựng,Xây dựng,Xây dựng,53.916.675,"5,71",40.585.461,"5,82",53916675.0,5.71,40585461.0,5.82
"Bán buôn và bán lẻ; sửa chữa ô tô,mô tô, xe máy và xe có động cơ khác","Bán buôn và bán lẻ; sửa chữa ô tô,mô tô, xe máy và xe có động cơ khác","Bán buôn và bán lẻ; sửa chữa ô tô,mô tô, xe máy và xe có động cơ khác",105.015.752,"11,13",72.461.942,"10,38",105015752.0,11.13,72461942.0,10.38
Vận tải kho bãi,Vận tải kho bãi,Vận tải kho bãi,12.417.698,"1,32",12.572.965,"1,80",12417698.0,1.32,12572965.0,1.8
Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,51.046.762,"5,41",18.952.714,"2,72",51046762.0,5.41,18952714.0,2.72
Thông tin và truyền thông,Thông tin và truyền thông,Thông tin và truyền thông,2.140.303,"0,23",1.754.668,"0,25",2140303.0,0.23,1754668.0,0.25
"Hoạt động tài chính, ngân hàng vàbảo hiểm","Hoạt động tài chính, ngân hàng vàbảo hiểm","Hoạt động tài chính, ngân hàng vàbảo hiểm",52.773.620,"5,59",17.985.239,"2,58",52773620.0,5.59,17985239.0,2.58
Hoạt động kinh doanh bất động sản,Hoạt động kinh doanh bất động sản,Hoạt động kinh doanh bất động sản,207.427.552,"21,97",186.736.821,"26,76",207427552.0,21.97,186736821.0,26.76
"Hoạt động chuyên môn, khoa học vàcông nghệ","Hoạt động chuyên môn, khoa học vàcông nghệ","Hoạt động chuyên môn, khoa học vàcông nghệ",4.623.765,"0,49",3.320.412,"0,48",4623765.0,0.49,3320412.0,0.48
Hoạt động hành chính và dịch vụ hỗ trợ,Hoạt động hành chính và dịch vụ hỗ trợ,Hoạt động hành chính và dịch vụ hỗ trợ,5.050.097,"0,54",2.937.827,"0,42",5050097.0,0.54,2937827.0,0.42
"Hoạt động của Đảng cộng sản, tổchức chính trị-xã hội, quản lý Nhànước, an ninh quốc phòng; bảo đảmxã hội bắt buộc","Hoạt động của Đảng cộng sản, tổchức chính trị-xã hội, quản lý Nhànước, an ninh quốc phòng; bảo đảmxã hội bắt buộc","Hoạt động của Đảng cộng sản, tổchức chính trị-xã hội, quản lý Nhànước, an ninh quốc phòng; bảo đảmxã hội bắt buộc",14.165,"0,00",10.696,"0,00",14165.0,0.0,10696.0,0.0
Giáo dục và đào tạo,Giáo dục và đào tạo,Giáo dục và đào tạo,293.470,"0,03",1.072.488,"0,15",293470.0,0.03,1072488.0,0.15
