row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2025 > Giá trị gốcTriệu đồng,Ngày 31 tháng 12 năm 2025 > Tỷ lệ sở hữu %,Ngày 31 tháng 12 năm 2024 > Giá trị gốcTriệu đồng,Ngày 31 tháng 12 năm 2024 > Tỷ lệ sở hữu %,numeric__Ngày 31 tháng 12 năm 2025 > Giá trị gốcTriệu đồng,numeric__Ngày 31 tháng 12 năm 2025 > Tỷ lệ sở hữu %,numeric__Ngày 31 tháng 12 năm 2024 > Giá trị gốcTriệu đồng,numeric__Ngày 31 tháng 12 năm 2024 > Tỷ lệ sở hữu %
Đầu tư vào tổ chức kinh tế,Đầu tư vào tổ chức kinh tế,Đầu tư vào tổ chức kinh tế,Đầu tư vào tổ chức kinh tế,Đầu tư vào tổ chức kinh tế,Đầu tư vào tổ chức kinh tế,Đầu tư vào tổ chức kinh tế,,,,
Công ty Cổ phần Thông tin tin dụng,Đầu tư vào tổ chức kinh tế > Công ty Cổ phần Thông tin tin dụng,Công ty Cổ phần Thông tin tin dụng,3.934,"3,28",3.934,"3,28",3934.0,3.28,3934.0,3.28
Công ty Cổ phần Cảng Sài Gòn,Đầu tư vào tổ chức kinh tế > Công ty Cổ phần Cảng Sài Gòn,Công ty Cổ phần Cảng Sài Gòn,185.276,"7,44",185.276,"7,44",185276.0,7.44,185276.0,7.44
Công ty Cổ phần sản giao dịch tải sản mã hóa Việt Nam Thịnh Vượng (CAEX),Đầu tư vào tổ chức kinh tế > Công ty Cổ phần sản giao dịch tải sản mã hóa Việt Nam Thịnh Vượng (CAEX),Công ty Cổ phần sản giao dịch tải sản mã hóa Việt Nam Thịnh Vượng (CAEX),2.750,"11,00",-,-,2750.0,11.0,,
,,,191.960,,189.210,,191960.0,,189210.0,
