row_label_raw,row_label_full,col_0,Giá trị số sách > Ngày 31 tháng 12năm 2025,Giá trị số sách > Ngày 31 tháng 12năm 2024(Trình bảy lại),numeric__Giá trị số sách > Ngày 31 tháng 12năm 2025,numeric__Giá trị số sách > Ngày 31 tháng 12năm 2024(Trình bảy lại)
,,,Triệu đồng,Triệu đồng,,
Bất động sản,Bất động sản,Bất động sản,682.891.731,616.660.384,682891731.0,616660384.0
Động sản,Động sản,Động sản,110.180.116,93.763.257,110180116.0,93763257.0
Giấy tờ có giả,Giấy tờ có giả,Giấy tờ có giả,44.046.168,54.089.579,44046168.0,54089579.0
Các tải sản đảm bảo khác,Các tải sản đảm bảo khác,Các tải sản đảm bảo khác,1.918.113.982,1.143.830.052,1918113982.0,1143830052.0
,,,2.755.231.997,1.908.343.272,2755231997.0,1908343272.0
