row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2025 Triệu đồng,Ngày 31 tháng 12 năm 2024 Triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2025 Triệu đồng,numeric__Ngày 31 tháng 12 năm 2024 Triệu đồng
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,
Các khoản nợ Chính phủ và NHNN,NỘ PHẢI TRẢ > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,18,15.305,5.713,18.0,15305.0,5713.0
"Tiền gửi và vay Chính phủ, NHNN","NỘ PHẢI TRẢ > Tiền gửi và vay Chính phủ, NHNN","Tiền gửi và vay Chính phủ, NHNN",,15.305,5.713,,15305.0,5713.0
"Tiền gửi và vay các tổ chức tài chính (""TCTC""), TCTD khác","NỘ PHẢI TRẢ > Tiền gửi và vay các tổ chức tài chính (""TCTC""), TCTD khác","Tiền gửi và vay các tổ chức tài chính (""TCTC""), TCTD khác",,295.199.519,201.756.421,,295199519.0,201756421.0
"Tiền gửi của các TCTC, TCTD khác","NỘ PHẢI TRẢ > Tiền gửi của các TCTC, TCTD khác","Tiền gửi của các TCTC, TCTD khác",19.1,140.778.777,111.863.209,191.0,140778777.0,111863209.0
"Vay các TCTC, TCTD khác","NỘ PHẢI TRẢ > Vay các TCTC, TCTD khác","Vay các TCTC, TCTD khác",19.2,154.420.742,89.893.212,192.0,154420742.0,89893212.0
Tiền gửi của khách hàng,NỘ PHẢI TRẢ > Tiền gửi của khách hàng,Tiền gửi của khách hàng,20,628.044.616,485.666.548,20.0,628044616.0,485666548.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,NỘ PHẢI TRẢ > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,9,843.382,28.057,9.0,843382.0,28057.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","NỘ PHẢI TRẢ > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",21,16.394,10.894,21.0,16394.0,10894.0
Phát hành giấy tờ có giá,NỘ PHẢI TRẢ > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,22,107.120.653,66.975.704,22.0,107120653.0,66975704.0
Các khoản nợ khác,NỘ PHẢI TRẢ > Các khoản nợ khác,Các khoản nợ khác,,48.634.098,22.129.038,,48634098.0,22129038.0
"Các khoản lãi, phí phải trả","NỘ PHẢI TRẢ > Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả",23.1,15.150.513,10.415.008,231.0,15150513.0,10415008.0
Thuế thu nhập doanh nghiệp hoãn lại phải trả,NỘ PHẢI TRẢ > Thuế thu nhập doanh nghiệp hoãn lại phải trả,Thuế thu nhập doanh nghiệp hoãn lại phải trả,24.2,28.985,26.517,242.0,28985.0,26517.0
Các khoản phải trả và công nợ khác,NỘ PHẢI TRẢ > Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,23.2,33.454.600,11.687.513,232.0,33454600.0,11687513.0
TỔNG NỘ PHẢI TRẢ,NỘ PHẢI TRẢ > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,,1.079.873.967,776.572.375,,1079873967.0,776572375.0
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,,,
Vốn,VỐN CHỦ SỞ HỮU > Vốn,Vốn,,103.331.782,103.331.782,,103331782.0,103331782.0
- Vốn điều lệ,VỐN CHỦ SỞ HỮU > - Vốn điều lệ,- Vốn điều lệ,,79.339.236,79.339.236,,79339236.0,79339236.0
- Thặng dư vốn cổ phần,VỐN CHỦ SỞ HỮU > - Thặng dư vốn cổ phần,- Thặng dư vốn cổ phần,,23.992.546,23.992.546,,23992546.0,23992546.0
Các quỹ của TCTD,VỐN CHỦ SỞ HỮU > Các quỹ của TCTD,Các quỹ của TCTD,,18.601.914,14.565.614,,18601914.0,14565614.0
Lợi nhuận chưa phân phối,VỐN CHỦ SỞ HỮU > Lợi nhuận chưa phân phối,Lợi nhuận chưa phân phối,,45.969.647,24.007.579,,45969647.0,24007579.0
Lợi ích của cổ đông không kiểm soát,VỐN CHỦ SỞ HỮU > Lợi ích của cổ đông không kiểm soát,Lợi ích của cổ đông không kiểm soát,,12.372.286,5.370.287,,12372286.0,5370287.0
TỔNG VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU > TỔNG VỐN CHỦ SỞ HỮU,TỔNG VỐN CHỦ SỞ HỮU,25,180.275.629,147.275.262,25.0,180275629.0,147275262.0
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU > TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,1.260.149.596,923.847.637,,1260149596.0,923847637.0
