row_label_raw,row_label_full,Năm 2014,Dịch vụ văn tải VND,Cung cấp kho nôi VND,Dịch vụ thương mại VND,Dịch vụ khác VND,Tổng VND,numeric__Dịch vụ văn tải VND,numeric__Cung cấp kho nôi VND,numeric__Dịch vụ thương mại VND,numeric__Dịch vụ khác VND,numeric__Tổng VND
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu > Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,1.332.960.952.988,147.177.935.512,151.635.347.664,358.922.005.289,1.990.696.241.453,1332960952988.0,147177935512.0,151635347664.0,358922005289.0,1990696241453.0
Doanh thu thuần từ bán hàng cho các bộ phần khác,Doanh thu thuần từ bán hàng cho các bộ phần khác,Doanh thu thuần từ bán hàng cho các bộ phần khác,-,-,-,-,-,,,,,
Tổng doanh thu,Doanh thu thuần từ bán hàng cho các bộ phần khác > Tổng doanh thu,Tổng doanh thu,1.332.960.952.988,147.177.935.512,151.635.347.664,358.922.005.289,1.990.696.241.453,1332960952988.0,147177935512.0,151635347664.0,358922005289.0,1990696241453.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh > Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,125.892.105.739,56.984.616.124,7.273.763.670,40.591.133.350,230.741.618.883,125892105739.0,56984616124.0,7273763670.0,40591133350.0,230741618883.0
Chi phí không phân bổ,Kết quả hoạt động kinh doanh > Chi phí không phân bổ,Chi phí không phân bổ,,,,,(54.624.375.799),,,,,-54624375799.0
Lợi nhuận từ hoạt động kinh doanh,Kết quả hoạt động kinh doanh > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,176.117.243.084,,,,,176117243084.0
Doanh thu hoạt động tài chính,Kết quả hoạt động kinh doanh > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,103.828.889.060,,,,,103828889060.0
Lợi nhuận khác,Kết quả hoạt động kinh doanh > Lợi nhuận khác,Lợi nhuận khác,,,,,78.178.082.891,,,,,78178082891.0
Chi phí tài chính,Kết quả hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,,,,,(44.014.963.801),,,,,-44014963801.0
Lợi nhuận trước thuế,Kết quả hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,314.109.251.234,,,,,314109251234.0
Chi phí thuế thu nhập doanh nghiệp,Kết quả hoạt động kinh doanh > Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,(59.777.279.343),,,,,-59777279343.0
Thu nhập thuế thu nhập doanh nghiệp hoàn lại,Kết quả hoạt động kinh doanh > Thu nhập thuế thu nhập doanh nghiệp hoàn lại,Thu nhập thuế thu nhập doanh nghiệp hoàn lại,,,,,(2.257.064.155),,,,,-2257064155.0
Lợi nhuận trong năm,Kết quả hoạt động kinh doanh > Lợi nhuận trong năm,Lợi nhuận trong năm,,,,,252.074.907.736,,,,,252074907736.0
Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,,,,,
Khẩu hao,Thông tin khác > Khẩu hao,Khẩu hao,,,,,129.544.985.371,,,,,129544985371.0
