row_label_raw,row_label_full,col_0,Giá trị ghi sổ > 31/12/2015VND,Giá trị ghi sổ > 31/12/2014VND,numeric__Giá trị ghi sổ > 31/12/2015VND,numeric__Giá trị ghi sổ > 31/12/2014VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.566.372.095.001,1.205.582.218.896,1566372095001.0,1205582218896.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,2.478.887.888.031,2.530.762.401.820,2478887888031.0,2530762401820.0
Đầu tư tài chính,Tài sản tài chính > Đầu tư tài chính,Đầu tư tài chính,45.937.767.300,63.052.276.252,45937767300.0,63052276252.0
Tổng cộng,Tài sản tài chính > Tổng cộng,Tổng cộng,4.091.197.750.332,3.799.396.896.968,4091197750332.0,3799396896968.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,2.491.631.329.670,2.696.084.532.814,2491631329670.0,2696084532814.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,1.084.592.453.964,1.011.987.754.318,1084592453964.0,1011987754318.0
Chi phí phải trả,Công nợ tài chính > Chi phí phải trả,Chi phí phải trả,15.611.631.826,39.960.074.606,15611631826.0,39960074606.0
Tổng cộng,Công nợ tài chính > Tổng cộng,Tổng cộng,3.591.835.415.460,3.748.032.361.738,3591835415460.0,3748032361738.0
