row_label_raw,row_label_full,col_0,Thiết bịvăn phòngVND,Phương tiệnvận tảiVND,TổngVND,numeric__Thiết bịvăn phòngVND,numeric__Phương tiệnvận tảiVND,numeric__TổngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Tại ngày 01/01/2015,NGUYÊN GIÁ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,4.369.803.881,1.961.695.055.569,1.966.064.859.450,4369803881.0,1961695055569.0,1966064859450.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,3.399.623.470,-,3.399.623.470,3399623470.0,,3399623470.0
Chuyển từ xây dựng cơ bản,NGUYÊN GIÁ > Chuyển từ xây dựng cơ bản,Chuyển từ xây dựng cơ bản,-,12.692.354.178,12.692.354.178,,12692354178.0,12692354178.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(274.796.200),-,(274.796.200),-274796200.0,,-274796200.0
Tại ngày 31/12/2015,NGUYÊN GIÁ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,7.494.631.151,1.974.387.409.747,1.981.882.040.898,7494631151.0,1974387409747.0,1981882040898.0
GIÁ TRỊ HAO MÒN LUỸ KẾ,GIÁ TRỊ HAO MÒN LUỸ KẾ,GIÁ TRỊ HAO MÒN LUỸ KẾ,GIÁ TRỊ HAO MÒN LUỸ KẾ,GIÁ TRỊ HAO MÒN LUỸ KẾ,GIÁ TRỊ HAO MÒN LUỸ KẾ,,,
Tại ngày 01/01/2015,GIÁ TRỊ HAO MÒN LUỸ KẾ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,(2.923.110.396),(538.149.985.981),(541.073.096.377),-2923110396.0,-538149985981.0,-541073096377.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LUỸ KẾ > Khấu hao trong năm,Khấu hao trong năm,(1.257.780.241),(112.480.098.344),(113.737.878.585),-1257780241.0,-112480098344.0,-113737878585.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LUỸ KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",272.067.952,-,272.067.952,272067952.0,,272067952.0
Tại ngày 31/12/2015,GIÁ TRỊ HAO MÒN LUỸ KẾ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,(3.908.822.685),(650.630.084.325),(654.538.907.010),-3908822685.0,-650630084325.0,-654538907010.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày 31/12/2015,GIÁ TRỊ CÒN LẠI > Tại ngày 31/12/2015,Tại ngày 31/12/2015,3.585.808.466,1.323.757.325.422,1.327.343.133.888,3585808466.0,1323757325422.0,1327343133888.0
Tại ngày 31/12/2014,GIÁ TRỊ CÒN LẠI > Tại ngày 31/12/2014,Tại ngày 31/12/2014,1.446.693.485,1.423.545.069.588,1.424.991.763.073,1446693485.0,1423545069588.0,1424991763073.0
