row_label_raw,row_label_full,NGUỒN VỐN,Mã số,Thuyết minh,31/12/2015,31/12/2014,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2015,numeric__31/12/2014
C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,300,,3.832.175.800.049,3.916.745.314.815,300.0,,3832175800049.0,3916745314815.0
I. Nợ ngắn hạn,I. Nợ ngắn hạn,I. Nợ ngắn hạn,310,,1.478.390.487.479,994.168.705.072,310.0,,1478390487479.0,994168705072.0
1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,311,14,688.999.374.903,385.876.816.434,311.0,14.0,688999374903.0,385876816434.0
2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,312,,2.042.682.621,1.041.612.458,312.0,,2042682621.0,1041612458.0
3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,313,15,40.722.662.492,25.339.230.755,313.0,15.0,40722662492.0,25339230755.0
4. Phải trả người lao động,4. Phải trả người lao động,4. Phải trả người lao động,314,,80.944.089.212,70.760.030.457,314.0,,80944089212.0,70760030457.0
5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,315,16,10.943.202.365,35.514.149.361,315.0,16.0,10943202365.0,35514149361.0
6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,318,,489.659.421,-,318.0,,489659421.0,
7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,319,17,20.531.422.369,49.540.650.645,319.0,17.0,20531422369.0,49540650645.0
8. Vay và nợ thuê tài chính ngắn hạn,8. Vay và nợ thuê tài chính ngắn hạn,8. Vay và nợ thuê tài chính ngắn hạn,320,21,535.426.470.525,373.374.335.562,320.0,21.0,535426470525.0,373374335562.0
9. Dự phòng phải trả ngắn hạn,9. Dự phòng phải trả ngắn hạn,9. Dự phòng phải trả ngắn hạn,321,18,61.206.490.287,30.522.417.720,321.0,18.0,61206490287.0,30522417720.0
"10. Quỹ khen thưởng, phúc lợi","10. Quỹ khen thưởng, phúc lợi","10. Quỹ khen thưởng, phúc lợi",322,,37.084.433.284,22.199.461.680,322.0,,37084433284.0,22199461680.0
II. Nợ dài hạn,II. Nợ dài hạn,II. Nợ dài hạn,330,,2.353.785.312.570,2.922.576.609.743,330.0,,2353785312570.0,2922576609743.0
1. Phải trả người bán dài hạn,1. Phải trả người bán dài hạn,1. Phải trả người bán dài hạn,331,19,346.336.704.000,577.227.840.000,331.0,19.0,346336704000.0,577227840000.0
2. Chi phí phải trả dài hạn,2. Chi phí phải trả dài hạn,2. Chi phí phải trả dài hạn,333,16,4.668.429.461,4.445.925.245,333.0,16.0,4668429461.0,4445925245.0
3. Phải trả dài hạn khác,3. Phải trả dài hạn khác,3. Phải trả dài hạn khác,337,20,30.000.000.000,-,337.0,20.0,30000000000.0,
4. Vay và nợ thuê tài chính dài hạn,4. Vay và nợ thuê tài chính dài hạn,4. Vay và nợ thuê tài chính dài hạn,338,21,1.956.204.859.145,2.322.710.197.252,338.0,21.0,1956204859145.0,2322710197252.0
5. Dự phòng phải trả dài hạn,5. Dự phòng phải trả dài hạn,5. Dự phòng phải trả dài hạn,342,18,16.575.319.964,18.192.647.246,342.0,18.0,16575319964.0,18192647246.0
D. VỐN CHỦ SỞ HỮU,D. VỐN CHỦ SỞ HỮU,D. VỐN CHỦ SỞ HỮU,400,,3.240.955.914.403,2.948.348.570.801,400.0,,3240955914403.0,2948348570801.0
I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,410,22,3.240.955.914.403,2.948.348.570.801,410.0,22.0,3240955914403.0,2948348570801.0
1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,411,,2.558.575.420.000,2.558.575.420.000,411.0,,2558575420000.0,2558575420000.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,2.558.575.420.000,2.558.575.420.000,,,2558575420000.0,2558575420000.0
2. Quỹ đầu tư phát triển,2. Quỹ đầu tư phát triển,2. Quỹ đầu tư phát triển,418,,111.588.613.645,111.588.613.645,418.0,,111588613645.0,111588613645.0
3. Quỹ khác thuộc vốn chủ sở hữu,3. Quỹ khác thuộc vốn chủ sở hữu,3. Quỹ khác thuộc vốn chủ sở hữu,420,,28.922.255.011,16.318.509.624,420.0,,28922255011.0,16318509624.0
4. Lợi nhuận sau thuế chưa phân phối,4. Lợi nhuận sau thuế chưa phân phối,4. Lợi nhuận sau thuế chưa phân phối,421,,541.869.625.747,261.866.027.532,421.0,,541869625747.0,261866027532.0
- Lợi nhuận sau thuế chưa phân phối,- Lợi nhuận sau thuế chưa phân phối,- Lợi nhuận sau thuế chưa phân phối,421a,,223.446.791.371,261.866.027.532,,,223446791371.0,261866027532.0
lũy kế đến cuối năm trước,lũy kế đến cuối năm trước,lũy kế đến cuối năm trước,,,,,,,,
- Lợi nhuận sau thuế chưa phân phối,- Lợi nhuận sau thuế chưa phân phối,- Lợi nhuận sau thuế chưa phân phối,421b,,,,,,,
năm nay,- Lợi nhuận sau thuế chưa phân phối > năm nay,năm nay,,,318.422.834.376,-,,,318422834376.0,
