row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,2015,2014,numeric__Mã số,numeric__Thuyết minh,numeric__2015,numeric__2014
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,,2.354.710.953.554,1.990.696.241.453,1.0,,2354710953554.0,1990696241453.0
2. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01),2. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01),2. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01),10,25,2.354.710.953.554,1.990.696.241.453,10.0,25.0,2354710953554.0,1990696241453.0
3. Giá vốn hàng bán,3. Giá vốn hàng bán,3. Giá vốn hàng bán,11,26,2.038.997.397.443,1.759.954.622.570,11.0,26.0,2038997397443.0,1759954622570.0
4. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),4. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),4. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,315.713.556.111,230.741.618.883,20.0,,315713556111.0,230741618883.0
5. Doanh thu hoạt động tài chính,5. Doanh thu hoạt động tài chính,5. Doanh thu hoạt động tài chính,21,28,108.080.007.522,103.828.889.060,21.0,28.0,108080007522.0,103828889060.0
6. Chi phí tài chính,6. Chi phí tài chính,6. Chi phí tài chính,22,29,(34.250.717.697),44.014.963.801,22.0,29.0,-34250717697.0,44014963801.0
- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,23,,(4.186.062.124),18.430.419.508,23.0,,-4186062124.0,18430419508.0
7. Chi phí bán hàng,7. Chi phí bán hàng,7. Chi phí bán hàng,25,30,2.520.000.000,2.520.000.000,25.0,30.0,2520000000.0,2520000000.0
8. Chi phí quản lý doanh nghiệp,8. Chi phí quản lý doanh nghiệp,8. Chi phí quản lý doanh nghiệp,26,30,60.064.422.811,52.104.375.799,26.0,30.0,60064422811.0,52104375799.0
9. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),9. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),9. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),30,,395.459.858.519,235.931.168.343,30.0,,395459858519.0,235931168343.0
10. Thu nhập khác,10. Thu nhập khác,10. Thu nhập khác,31,,170.046.251,80.225.560.152,31.0,,170046251.0,80225560152.0
11. Chi phí khác,11. Chi phí khác,11. Chi phí khác,32,,76.277.983,2.047.477.261,32.0,,76277983.0,2047477261.0
12. Lợi nhuận khác (40=31-32),12. Lợi nhuận khác (40=31-32),12. Lợi nhuận khác (40=31-32),40,31,93.768.268,78.178.082.891,40.0,31.0,93768268.0,78178082891.0
13. Tổng lợi nhuận kế toán trước thuế (50=30+40),13. Tổng lợi nhuận kế toán trước thuế (50=30+40),13. Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,395.553.626.787,314.109.251.234,50.0,,395553626787.0,314109251234.0
14. Chi phí thuế thu nhập doanh nghiệp hiện hành,14. Chi phí thuế thu nhập doanh nghiệp hiện hành,14. Chi phí thuế thu nhập doanh nghiệp hiện hành,51,32,77.508.651.147,59.777.279.343,51.0,32.0,77508651147.0,59777279343.0
15. (Thu nhập)/Chi phí thuế thu nhập doanh nghiệp hoãn lại,15. (Thu nhập)/Chi phí thuế thu nhập doanh nghiệp hoãn lại,15. (Thu nhập)/Chi phí thuế thu nhập doanh nghiệp hoãn lại,52,32,(377.858.736),2.257.064.155,52.0,32.0,-377858736.0,2257064155.0
16. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),16. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),16. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,318.422.834.376,252.074.907.736,60.0,,318422834376.0,252074907736.0
