row_label_raw,row_label_full,col_0,2015Số năm,2014Số năm,numeric__2015Số năm,numeric__2014Số năm
Thiết bị văn phòng,Thiết bị văn phòng,Thiết bị văn phòng,3,3,3.0,3.0
Phương tiện vận tải,Phương tiện vận tải,Phương tiện vận tải,6 - 20,6 - 25,,
