row_label_raw,row_label_full,Tên chỉ tiêu,Mã số,2014,Tên chỉ tiêu_1,Mã số_1,2014_1,numeric__Mã số,numeric__2014,numeric__Tên chỉ tiêu_1,numeric__Mã số_1,numeric__2014_1
1. Doanh thu hoạt động tài chính,1. Doanh thu hoạt động tài chính,1. Doanh thu hoạt động tài chính,21,201.756.388.105,1. Doanh thu hoạt động tài chính,21,103.828.889.060 Phân loại lại,21.0,201756388105.0,,21.0,
2. Chi phí tải chính,2. Chi phí tải chính,2. Chi phí tải chính,22,141.942.462.846,2. Chi phí tải chính,22,44.014.963.801 Phân loại lại,22.0,141942462846.0,,22.0,
3. Thu nhập khác,3. Thu nhập khác,3. Thu nhập khác,31,163.688.355.835,3. Thu nhập khác,,80.225.560.152 Phân loại lại,31.0,163688355835.0,,,
4. Chi phí khác,4. Chi phí khác,4. Chi phí khác,32,85.510.272.944,4. Chi phí khác,32,2.047.477.261 Phân loại lại,32.0,85510272944.0,,32.0,
