row_label_raw,row_label_full,col_0,31/12/2015VND,31/12/2015VND_1,31/12/2014VND,31/12/2014VND_1,numeric__31/12/2015VND,numeric__31/12/2015VND_1,numeric__31/12/2014VND,numeric__31/12/2014VND_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,,,,
Công ty Cổ phần Vận tải Dầu khí TháiBình Dương,Đầu tư vào công ty con > Công ty Cổ phần Vận tải Dầu khí TháiBình Dương,Công ty Cổ phần Vận tải Dầu khí TháiBình Dương,612.000.000.000,-,612.000.000.000,-,612000000000.0,,612000000000.0,
Công ty Cổ phần Vận tải Xăng dầu PhươngNam,Đầu tư vào công ty con > Công ty Cổ phần Vận tải Xăng dầu PhươngNam,Công ty Cổ phần Vận tải Xăng dầu PhươngNam,405.632.000.000,(191.834.793.024),405.632.000.000,(204.643.226.089),405632000000.0,-191834793024.0,405632000000.0,-204643226089.0
Công ty Cổ phần Vận tải Sản phẩm khíQuốc tế,Đầu tư vào công ty con > Công ty Cổ phần Vận tải Sản phẩm khíQuốc tế,Công ty Cổ phần Vận tải Sản phẩm khíQuốc tế,203.209.000.000,-,203.209.000.000,-,203209000000.0,,203209000000.0,
Công ty Cổ phần Vận tải Dầu khí Vũng Tàu,Đầu tư vào công ty con > Công ty Cổ phần Vận tải Dầu khí Vũng Tàu,Công ty Cổ phần Vận tải Dầu khí Vũng Tàu,156.000.000.000,-,156.000.000.000,-,156000000000.0,,156000000000.0,
Công ty Cổ phần Vận tải Dầu PhươngĐông Việt,Đầu tư vào công ty con > Công ty Cổ phần Vận tải Dầu PhươngĐông Việt,Công ty Cổ phần Vận tải Dầu PhươngĐông Việt,137.869.870.000,(33.415.482.623),137.869.870.000,(49.348.079.829),137869870000.0,-33415482623.0,137869870000.0,-49348079829.0
Công ty Cổ phần Vận tải Dầu khí Hà Nội,Đầu tư vào công ty con > Công ty Cổ phần Vận tải Dầu khí Hà Nội,Công ty Cổ phần Vận tải Dầu khí Hà Nội,107.800.000.000,-,107.800.000.000,-,107800000000.0,,107800000000.0,
Công ty Cổ phần Dịch vụ Vận tải Dầu khíCửu long,Đầu tư vào công ty con > Công ty Cổ phần Dịch vụ Vận tải Dầu khíCửu long,Công ty Cổ phần Dịch vụ Vận tải Dầu khíCửu long,52.037.720.000,-,52.037.720.000,-,52037720000.0,,52037720000.0,
Công ty Cổ phần Vận tải Dầu khí Đông Dương,Đầu tư vào công ty con > Công ty Cổ phần Vận tải Dầu khí Đông Dương,Công ty Cổ phần Vận tải Dầu khí Đông Dương,38.670.000.000,(862.341.000),38.670.000.000,(2.416.875.000),38670000000.0,-862341000.0,38670000000.0,-2416875000.0
Công ty Cổ phần Vận tải Dầu khí QuảngNgãi,Đầu tư vào công ty con > Công ty Cổ phần Vận tải Dầu khí QuảngNgãi,Công ty Cổ phần Vận tải Dầu khí QuảngNgãi,7.600.000.000,-,7.600.000.000,-,7600000000.0,,7600000000.0,
,,,1.720.818.590.000,(226.112.616.647),1.720.818.590.000,(256.408.180.918),1720818590000.0,-226112616647.0,1720818590000.0,-256408180918.0
"Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết",,,,
Công ty Cổ phần Dịch vụ Khai thác Dầukhí PTSC,"Đầu tư vào công ty liên doanh, liên kết > Công ty Cổ phần Dịch vụ Khai thác Dầukhí PTSC",Công ty Cổ phần Dịch vụ Khai thác Dầukhí PTSC,97.000.000.000,-,97.000.000.000,-,97000000000.0,,97000000000.0,
Công ty TNHH PVTrans Emas,"Đầu tư vào công ty liên doanh, liên kết > Công ty TNHH PVTrans Emas",Công ty TNHH PVTrans Emas,1.025.000.000,-,1.025.000.000,-,1025000000.0,,1025000000.0,
,,,98.025.000.000,-,98.025.000.000,-,98025000000.0,,98025000000.0,
Đầu tư vào đơn vị khácPV KEEZ Pte. Ltd.,"Đầu tư vào công ty liên doanh, liên kết > Đầu tư vào đơn vị khácPV KEEZ Pte. Ltd.",Đầu tư vào đơn vị khácPV KEEZ Pte. Ltd.,45.937.767.300,-,63.052.276.252,-,45937767300.0,,63052276252.0,
,,,45.937.767.300,-,63.052.276.252,-,45937767300.0,,63052276252.0,
