row_label_raw,row_label_full,Tên chỉ tiêu,Mã số,31/12/2014,Tên chỉ tiêu_1,Mã số_1,31/12/2014_1,numeric__Mã số,numeric__31/12/2014,numeric__Tên chỉ tiêu_1,numeric__Mã số_1,numeric__31/12/2014_1
I. TÀI SẢN,I. TÀI SẢN,I. TÀI SẢN,I. TÀI SẢN,I. TÀI SẢN,I. TÀI SẢN,I. TÀI SẢN,I. TÀI SẢN,,,,,
1. Phải thu của khách hàng,I. TÀI SẢN > 1. Phải thu của khách hàng,1. Phải thu của khách hàng,131,390.550.916.077,1. Phải thu ngắn hạn của khách hàng,131,384.150.070.046 Phân loại lại và đổi tên,131.0,390550916077.0,,131.0,
2. Phải thu ngắn hạn khác,I. TÀI SẢN > 2. Phải thu ngắn hạn khác,2. Phải thu ngắn hạn khác,135,365.737.960.770,2. Phải thu ngắn hạn khác,136,373.215.563.932 Phân loại lại,135.0,365737960770.0,,136.0,
3. Tài sản ngắn hạn khác,I. TÀI SẢN > 3. Tài sản ngắn hạn khác,3. Tài sản ngắn hạn khác,158,1.076.757.131,3. Tài sản ngắn hạn khác,155,- Phân loại lại,158.0,1076757131.0,,155.0,
4. Phải thu dài hạn khác,I. TÀI SẢN > 4. Phải thu dài hạn khác,4. Phải thu dài hạn khác,218,1.788.354.940.578,4. Phải thu dài hạn khác,216,1.791.841.069.291 Phân loại lại,218.0,1788354940578.0,,216.0,
5. Tài sản dài hạn khác,I. TÀI SẢN > 5. Tài sản dài hạn khác,5. Tài sản dài hạn khác,268,3.486.128.713,5. Tài sản dài hạn khác,268,- Phân loại lại,268.0,3486128713.0,,268.0,
II. NGUỒN VỐN,II. NGUỒN VỐN,II. NGUỒN VỐN,II. NGUỒN VỐN,II. NGUỒN VỐN,II. NGUỒN VỐN,II. NGUỒN VỐN,II. NGUỒN VỐN,,,,,
1. Chi phí phải trả,II. NGUỒN VỐN > 1. Chi phí phải trả,1. Chi phí phải trả,316,88.675.139.572,1. Chi phí phải trả ngắn hạn,315,35.514.149.361 Phân loại lại và đổi tên,316.0,88675139572.0,,315.0,
2. Dự phòng phải trả ngắn hạn,II. NGUỒN VỐN > 2. Dự phòng phải trả ngắn hạn,2. Dự phòng phải trả ngắn hạn,321,-,2. Dự phòng phải trả ngắn hạn,321,30.522.417.720 Phân loại lại,321.0,,,321.0,
Không có chỉ tiêu tương ứng,II. NGUỒN VỐN > Không có chỉ tiêu tương ứng,Không có chỉ tiêu tương ứng,,,3. Chi phí phải trả dài hạn,333,4.445.925.245 Phân loại lại,,,,333.0,
3. Dự phòng phải trả dài hạn,II. NGUỒN VỐN > 3. Dự phòng phải trả dài hạn,3. Dự phòng phải trả dài hạn,342,-,4. Dự phòng phải trả dài hạn,342,18.192.647.246 Phân loại lại,342.0,,,342.0,
4. Quỹ đầu tư phát triển,II. NGUỒN VỐN > 4. Quỹ đầu tư phát triển,4. Quỹ đầu tư phát triển,417,70.084.632.101,5. Quỹ đầu tư phát triển,418,111.588.613.645 Phân loại lại,417.0,70084632101.0,,418.0,
5. Quỹ dự phòng tài chính,II. NGUỒN VỐN > 5. Quỹ dự phòng tài chính,5. Quỹ dự phòng tài chính,418,41.503.981.544,Không có chỉ tiêu tương ứng,,- Phân loại lại,418.0,41503981544.0,,,
