row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2015,MẦU B 01-DN Đơn vị tính: VND31/12/2014,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2015,numeric__MẦU B 01-DN Đơn vị tính: VND31/12/2014
A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,100,,2.452.480.650.974,2.006.372.628.775,100.0,,2452480650974.0,2006372628775.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,5,1.566.372.095.001,1.205.582.218.896,110.0,5.0,1566372095001.0,1205582218896.0
1. Tiền,1. Tiền,1. Tiền,111,,128.172.095.001,112.582.218.896,111.0,,128172095001.0,112582218896.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,1.438.200.000.000,1.093.000.000.000,112.0,,1438200000000.0,1093000000000.0
II. Các khoản phải thu ngắn hạn,II. Các khoản phải thu ngắn hạn,II. Các khoản phải thu ngắn hạn,130,,829.463.541.999,742.820.453.049,130.0,,829463541999.0,742820453049.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,6,448.124.903.588,384.150.070.046,131.0,6.0,448124903588.0,384150070046.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,,304.951.319,3.503.845.089,132.0,,304951319.0,3503845089.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,7,400.239.154.266,373.215.563.932,136.0,7.0,400239154266.0,373215563932.0
4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,137,8,(19.205.467.174),(18.049.026.018),137.0,8.0,-19205467174.0,-18049026018.0
III. Hàng tồn kho,III. Hàng tồn kho,III. Hàng tồn kho,140,9,50.067.124.676,39.331.003.473,140.0,9.0,50067124676.0,39331003473.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,50.067.124.676,39.331.003.473,141.0,,50067124676.0,39331003473.0
IV. Tài sản ngắn hạn khác,IV. Tài sản ngắn hạn khác,IV. Tài sản ngắn hạn khác,150,,6.577.889.298,18.638.953.357,150.0,,6577889298.0,18638953357.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,,3.456.860.776,2.211.715.695,151.0,,3456860776.0,2211715695.0
2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,152,,3.121.028.522,16.244.366.095,152.0,,3121028522.0,16244366095.0
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,15,-,182.871.567,153.0,15.0,,182871567.0
B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,200,,4.620.651.063.478,4.858.721.256.841,200.0,,4620651063478.0,4858721256841.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,1.650.769.715.037,1.791.841.069.291,210.0,,1650769715037.0,1791841069291.0
1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,216,10,1.650.769.715.037,1.791.841.069.291,216.0,10.0,1650769715037.0,1791841069291.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,1.327.348.156.422,1.425.046.017.228,220.0,,1327348156422.0,1425046017228.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,11,1.327.343.133.888,1.424.991.763.073,221.0,11.0,1327343133888.0,1424991763073.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,1.981.882.040.898,1.966.064.859.450,222.0,,1981882040898.0,1966064859450.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,,(654.538.907.010),(541.073.096.377),223.0,,-654538907010.0,-541073096377.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,,5.022.534,54.254.155,227.0,,5022534.0,54254155.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,1.117.550.300,1.117.550.300,228.0,,1117550300.0,1117550300.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,229,,(1.112.527.766),(1.063.296.145),229.0,,-1112527766.0,-1063296145.0
III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,240,,-,12.769.583.108,240.0,,,12769583108.0
1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,242,,-,12.769.583.108,242.0,,,12769583108.0
IV. Đầu tư tài chính dài hạn,IV. Đầu tư tài chính dài hạn,IV. Đầu tư tài chính dài hạn,250,12,1.638.668.740.653,1.625.487.685.334,250.0,12.0,1638668740653.0,1625487685334.0
1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,251,,1.720.818.590.000,1.720.818.590.000,251.0,,1720818590000.0,1720818590000.0
"2. Đầu tư vào công ty liên doanh, liên kết","2. Đầu tư vào công ty liên doanh, liên kết","2. Đầu tư vào công ty liên doanh, liên kết",252,,98.025.000.000,98.025.000.000,252.0,,98025000000.0,98025000000.0
3. Đầu tư góp vốn vào đơn vị khác,3. Đầu tư góp vốn vào đơn vị khác,3. Đầu tư góp vốn vào đơn vị khác,253,,45.937.767.300,63.052.276.252,253.0,,45937767300.0,63052276252.0
4. Dự phòng đầu tư tài chính dài hạn,4. Dự phòng đầu tư tài chính dài hạn,4. Dự phòng đầu tư tài chính dài hạn,254,,(226.112.616.647),(256.408.180.918),254.0,,-226112616647.0,-256408180918.0
V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,260,,3.864.451.366,3.576.901.880,260.0,,3864451366.0,3576901880.0
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,,248.494.182,338.803.432,261.0,,248494182.0,338803432.0
2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,262,13,3.615.957.184,3.238.098.448,262.0,13.0,3615957184.0,3238098448.0
TỔNG TÀI SẢN (270 = 100 + 200),TỔNG TÀI SẢN (270 = 100 + 200),TỔNG TÀI SẢN (270 = 100 + 200),270,,7.073.131.714.452,6.865.093.885.616,270.0,,7073131714452.0,6865093885616.0
