row_label_raw,row_label_full,col_0,31/12/2015VND > Giá trị,31/12/2015VND > Số có khả năng trả nợ,31/12/2014VND > Giá trị,31/12/2014VND > Số có khả năng trả nợ,numeric__31/12/2015VND > Giá trị,numeric__31/12/2015VND > Số có khả năng trả nợ,numeric__31/12/2014VND > Giá trị,numeric__31/12/2014VND > Số có khả năng trả nợ
a. Phải trả người bán là bên thứ ba,a. Phải trả người bán là bên thứ ba,a. Phải trả người bán là bên thứ ba,a. Phải trả người bán là bên thứ ba,a. Phải trả người bán là bên thứ ba,a. Phải trả người bán là bên thứ ba,a. Phải trả người bán là bên thứ ba,,,,
Công ty Cổ phần Vận tải Hàng hải Quốc Việt,a. Phải trả người bán là bên thứ ba > Công ty Cổ phần Vận tải Hàng hải Quốc Việt,Công ty Cổ phần Vận tải Hàng hải Quốc Việt,10.009.543.285,10.009.543.285,10.009.543.285,10.009.543.285,10009543285.0,10009543285.0,10009543285.0,10009543285.0
Wallem Ship Management Ltd,a. Phải trả người bán là bên thứ ba > Wallem Ship Management Ltd,Wallem Ship Management Ltd,11.777.189.629,11.777.189.629,11.215.871.460,11.215.871.460,11777189629.0,11777189629.0,11215871460.0,11215871460.0
Các đối tượng khác,a. Phải trả người bán là bên thứ ba > Các đối tượng khác,Các đối tượng khác,77.235.421.507,77.235.421.507,78.205.788.898,78.205.788.898,77235421507.0,77235421507.0,78205788898.0,78205788898.0
b. Phải trả người bán là các bên liên quan,b. Phải trả người bán là các bên liên quan,b. Phải trả người bán là các bên liên quan,b. Phải trả người bán là các bên liên quan,b. Phải trả người bán là các bên liên quan,b. Phải trả người bán là các bên liên quan,b. Phải trả người bán là các bên liên quan,,,,
Công ty Cổ phần Vận tải Dầu khí Thái Bình Dương,b. Phải trả người bán là các bên liên quan > Công ty Cổ phần Vận tải Dầu khí Thái Bình Dương,Công ty Cổ phần Vận tải Dầu khí Thái Bình Dương,339.066.200.467,339.066.200.467,142.044.369.462,142.044.369.462,339066200467.0,339066200467.0,142044369462.0,142044369462.0
Công ty Cổ phần Vận tải Dầu khí Phương Nam,b. Phải trả người bán là các bên liên quan > Công ty Cổ phần Vận tải Dầu khí Phương Nam,Công ty Cổ phần Vận tải Dầu khí Phương Nam,18.438.564.062,18.438.564.062,49.612.610.517,49.612.610.517,18438564062.0,18438564062.0,49612610517.0,49612610517.0
Công ty Cổ phần Vận tải Dầu khí Đông Dương,b. Phải trả người bán là các bên liên quan > Công ty Cổ phần Vận tải Dầu khí Đông Dương,Công ty Cổ phần Vận tải Dầu khí Đông Dương,2.815.173.680,2.815.173.680,173.175.000,173.175.000,2815173680.0,2815173680.0,173175000.0,173175000.0
Công ty Cổ phần Vận tải Dầu khí Quảng Ngãi,b. Phải trả người bán là các bên liên quan > Công ty Cổ phần Vận tải Dầu khí Quảng Ngãi,Công ty Cổ phần Vận tải Dầu khí Quảng Ngãi,630.507.350,630.507.350,749.942.650,749.942.650,630507350.0,630507350.0,749942650.0,749942650.0
Công ty Cổ phần Vận tải Dầu khí Cửu Long,b. Phải trả người bán là các bên liên quan > Công ty Cổ phần Vận tải Dầu khí Cửu Long,Công ty Cổ phần Vận tải Dầu khí Cửu Long,522.006.000,522.006.000,538.524.000,538.524.000,522006000.0,522006000.0,538524000.0,538524000.0
Công ty Cổ phần Vận tải Dầu khí Hà Nội,b. Phải trả người bán là các bên liên quan > Công ty Cổ phần Vận tải Dầu khí Hà Nội,Công ty Cổ phần Vận tải Dầu khí Hà Nội,386.643.430,386.643.430,658.910.430,658.910.430,386643430.0,386643430.0,658910430.0,658910430.0
Công ty Cổ phần Vận tải Dầu khí Vũng Tàu,b. Phải trả người bán là các bên liên quan > Công ty Cổ phần Vận tải Dầu khí Vũng Tàu,Công ty Cổ phần Vận tải Dầu khí Vũng Tàu,218.160.000,218.160.000,6.190.424.630,6.190.424.630,218160000.0,218160000.0,6190424630.0,6190424630.0
Tập đoàn Dầu khí Quốc gia Việt Nam,b. Phải trả người bán là các bên liên quan > Tập đoàn Dầu khí Quốc gia Việt Nam,Tập đoàn Dầu khí Quốc gia Việt Nam,189.660.576.000,189.660.576.000,41.230.560.000,41.230.560.000,189660576000.0,189660576000.0,41230560000.0,41230560000.0
Công ty TNHH MTV Công nghiệp Tàu thủy Dung Quát,b. Phải trả người bán là các bên liên quan > Công ty TNHH MTV Công nghiệp Tàu thủy Dung Quát,Công ty TNHH MTV Công nghiệp Tàu thủy Dung Quát,33.760.239.732,33.760.239.732,31.289.894.507,31.289.894.507,33760239732.0,33760239732.0,31289894507.0,31289894507.0
