row_label_raw,row_label_full,col_0,01/01/2015VND,Số phải thu trong nămVND,Số đã thực thu trong nămVND,31/12/2015VND,numeric__01/01/2015VND,numeric__Số phải thu trong nămVND,numeric__Số đã thực thu trong nămVND,numeric__31/12/2015VND
a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,,,,
Thuế thu nhập cá nhân,a. Các khoản phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,182.871.567,-,182.871.567,-,182871567.0,,182871567.0,
Thuế thu nhập cá nhân,a. Các khoản phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,182.871.567,-,182.871.567,-,182871567.0,,182871567.0,
,,,01/01/2015VND,Số phàinộp trong nămVND,Số đã thựcnộp trong nămVND,31/12/2015VND,,,,
b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,,,,
Thuế giá trị gia tăng,b. Các khoản phải trả > Thuế giá trị gia tăng,Thuế giá trị gia tăng,1.087.455.580,68.080.302.787,60.278.012.367,8.889.746.000,1087455580.0,68080302787.0,60278012367.0,8889746000.0
Thuế xuất nhập khẩu,b. Các khoản phải trả > Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,-,429.219.861,429.219.861,-,,429219861.0,429219861.0,
Thuế thu nhập doanh nghiệp,b. Các khoản phải trả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,21.330.501.970,77.508.651.147,70.111.396.167,28.727.756.950,21330501970.0,77508651147.0,70111396167.0,28727756950.0
Thuế thu nhập cá nhân,b. Các khoản phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,2.375.131.981,32.729.145.261,32.138.387.138,2.965.890.104,2375131981.0,32729145261.0,32138387138.0,2965890104.0
Thuế nhà thầu,b. Các khoản phải trả > Thuế nhà thầu,Thuế nhà thầu,546.141.224,6.459.497.430,6.866.369.216,139.269.438,546141224.0,6459497430.0,6866369216.0,139269438.0
Thuế môn bài,b. Các khoản phải trả > Thuế môn bài,Thuế môn bài,-,5.000.000,5.000.000,-,,5000000.0,5000000.0,
,,,25.339.230.755,185.211.816.486,169.828.384.749,40.722.662.492,25339230755.0,185211816486.0,169828384749.0,40722662492.0
