row_label_raw,row_label_full,col_0,Vốn góp củachủ sở hữuVND,Quỹ đầu tư vàphát triển(trình bày lại)VND,Quỹ khác thuộcvốn chủ sở hữuVND,Lợi nhuậnsau thuế chưaphân phốiVND,TổngVND,numeric__Vốn góp củachủ sở hữuVND,numeric__Quỹ đầu tư vàphát triển(trình bày lại)VND,numeric__Quỹ khác thuộcvốn chủ sở hữuVND,numeric__Lợi nhuậnsau thuế chưaphân phốiVND,numeric__TổngVND
Tại ngày 01/01/2014,Tại ngày 01/01/2014,Tại ngày 01/01/2014,2.326.000.000.000,184.862.478.738,6.435.442.171,199.349.877.063,2.716.647.797.972,2326000000000.0,184862478738.0,6435442171.0,199349877063.0,2716647797972.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,232.575.420.000,(93.040.000.000),-,(139.535.420.000),-,232575420000.0,-93040000000.0,,-139535420000.0,
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,252.074.907.736,252.074.907.736,,,,252074907736.0,252074907736.0
Phấn phối quỹ,Phấn phối quỹ,Phấn phối quỹ,-,19.766.134.907,9.883.067.453,(29.649.202.360),-,,19766134907.0,9883067453.0,-29649202360.0,
"Trích quỹ khen thưởng,phúc lợi","Trích quỹ khen thưởng,phúc lợi","Trích quỹ khen thưởng,phúc lợi",-,-,-,(20.266.134.907),(20.266.134.907),,,,-20266134907.0,-20266134907.0
Thù lao Hội đồng Quản trịvà Ban kiểm soát khôngchuyển trách,Thù lao Hội đồng Quản trịvà Ban kiểm soát khôngchuyển trách,Thù lao Hội đồng Quản trịvà Ban kiểm soát khôngchuyển trách,-,-,-,(108.000.000),(108.000.000),,,,-108000000.0,-108000000.0
Tại ngày 01/01/2015,Tại ngày 01/01/2015,Tại ngày 01/01/2015,2.558.575.420.000,111.588.613.645,16.318.509.624,261.866.027.532,2.948.348.570.801,2558575420000.0,111588613645.0,16318509624.0,261866027532.0,2948348570801.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,318.422.834.376,318.422.834.376,,,,318422834376.0,318422834376.0
Phấn phối quỹ (*),Phấn phối quỹ (*),Phấn phối quỹ (*),-,-,12.603.745.387,(12.603.745.387),-,,,12603745387.0,-12603745387.0,
"Trích quỹ khen thưởng,phúc lợi (*)","Trích quỹ khen thưởng,phúc lợi (*)","Trích quỹ khen thưởng,phúc lợi (*)",-,-,-,(25.207.490.774),(25.207.490.774),,,,-25207490774.0,-25207490774.0
Quỹ khen thưởng Bandiểu hành (*),Quỹ khen thưởng Bandiểu hành (*),Quỹ khen thưởng Bandiểu hành (*),-,-,-,(500.000.000),(500.000.000),,,,-500000000.0,-500000000.0
Thù lao Hội đồng Quản trịvà Ban kiểm soát khôngchuyển trách (*),Thù lao Hội đồng Quản trịvà Ban kiểm soát khôngchuyển trách (*),Thù lao Hội đồng Quản trịvà Ban kiểm soát khôngchuyển trách (*),-,-,-,(108.000.000),(108.000.000),,,,-108000000.0,-108000000.0
Tại ngày 31/12/2015,Tại ngày 31/12/2015,Tại ngày 31/12/2015,2.558.575.420.000,111.588.613.645,28.922.255.011,541.869.625.747,3.240.955.914.403,2558575420000.0,111588613645.0,28922255011.0,541869625747.0,3240955914403.0
