row_label_raw,row_label_full,Năm 2015,Dịch vụ vận tảiVND,Cung cấp kho nổiVND,Dịch vụ thuong maiVND,Dịch vụ khácVND,TổngVND,numeric__Dịch vụ vận tảiVND,numeric__Cung cấp kho nổiVND,numeric__Dịch vụ thuong maiVND,numeric__Dịch vụ khácVND,numeric__TổngVND
Doanh thu,Doanh thu,Doanh thu,,,,,,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu > Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,1.268.963.199.636,493.806.942.034,151.859.503.897,440.081.307.987,2.354.710.953.554,1268963199636.0,493806942034.0,151859503897.0,440081307987.0,2354710953554.0
Doanh thu thuần từ bán hàng cho các bộ phần khác,Doanh thu thuần từ bán hàng cho các bộ phần khác,Doanh thu thuần từ bán hàng cho các bộ phần khác,-,-,-,-,-,,,,,
Tổng doanh thu,Doanh thu thuần từ bán hàng cho các bộ phần khác > Tổng doanh thu,Tổng doanh thu,1.268.963.199.636,493.806.942.034,151.859.503.897,440.081.307.987,2.354.710.953.554,1268963199636.0,493806942034.0,151859503897.0,440081307987.0,2354710953554.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,,,,,,
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh > Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,222.690.286.529,75.388.259.969,1.299.216.772,16.335.792.841,315.713.556.111,222690286529.0,75388259969.0,1299216772.0,16335792841.0,315713556111.0
Chi phí không phân bổ,Kết quả hoạt động kinh doanh > Chi phí không phân bổ,Chi phí không phân bổ,,,,,(62.584.422.811),,,,,-62584422811.0
Lợi nhuận từ hoạt động kinh doanh,Kết quả hoạt động kinh doanh > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,253.129.133.300,,,,,253129133300.0
Doanh thu hoạt động tài chính,Kết quả hoạt động kinh doanh > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,108.080.007.522,,,,,108080007522.0
Lợi nhuận khác,Kết quả hoạt động kinh doanh > Lợi nhuận khác,Lợi nhuận khác,,,,,93.768.268,,,,,93768268.0
Chi phí tài chính,Kết quả hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,,,,,34.250.717.697,,,,,34250717697.0
Lợi nhuận trước thuế,Kết quả hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,395.553.626.787,,,,,395553626787.0
Chi phí thuế thu nhập doanh nghiệp,Kết quả hoạt động kinh doanh > Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,(77.508.651.147),,,,,-77508651147.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Kết quả hoạt động kinh doanh > Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,,377.858.736,,,,,377858736.0
Lợi nhuận trong năm,Kết quả hoạt động kinh doanh > Lợi nhuận trong năm,Lợi nhuận trong năm,,,,,318.422.834.376,,,,,318422834376.0
Thông tin khác,Thông tin khác,Thông tin khác,,,,,,,,,,
Khẩu hao,Thông tin khác > Khẩu hao,Khẩu hao,,,,,113.787.110.206,,,,,113787110206.0
