row_label_raw,row_label_full,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính) > STT,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính) > Tên công ty,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính) > Hoạt động chính,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 31/12/2020,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 31/12/2020_1,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 1/1/2020,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 1/1/2020_1,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính) > Tên công ty,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính) > Hoạt động chính,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 31/12/2020,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 31/12/2020_1,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 1/1/2020,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính) > 1/1/2020_1
STT,STT,STT,Tên công ty,Hoạt động chính,% quyền sở hữu,% quyền biểu quyết,% quyền sở hữu,% quyền biểu quyết,,,,,,
15,STT > 15,15,Công ty Cổ phần Bia Sài Gòn - Bến Tre,"Sản xuất và kinh doanh bia, rượu và nước giải khát",20%,20%,20%,20%,,,0.2,0.2,0.2,0.2
16,STT > 16,16,Công ty Cổ phần Tập đoàn Bia Sài Gòn Bình Tây,"Sản xuất, gia công và kinh doanh thực phẩm, nước giải khát, bia và nước uống có cồn","21,80%","22,18%","21,80%","22,18%",,,0.218,0.2218,0.218,0.2218
17,STT > 17,17,Công ty Cổ phần Bia - Nước Giải Khát Sài Gòn - Tây Đô,"Sản xuất và kinh doanh bia, rượu, nước giải khát, sữa đậu nành và nước ép trái cây","27,62%","34,92%","27,62%","34,92%",,,0.2762,0.3492,0.2762,0.3492
18,STT > 18,18,Công ty Cổ phần Bia Sài Gòn - Bạc Liêu,"Sản xuất và kinh doanh bia, rượu và nước giải khát","10,2%",20%,"10,2%",20%,,,0.102,0.2,0.102,0.2
