row_label_raw,row_label_full,col_0,Quyền sử dụng đất (*) VND,Phần mềm máy vi tính VND,Tài sản vô hình khác VND,Tổng VND,numeric__Quyền sử dụng đất (*) VND,numeric__Phần mềm máy vi tính VND,numeric__Tài sản vô hình khác VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.024.215.267.144,67.270.890.585,247.447.482,1.091.733.605.211,1024215267144.0,67270890585.0,247447482.0,1091733605211.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,9.434.466.800,-,9.434.466.800,,9434466800.0,,9434466800.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,1.061.941.589,-,1.061.941.589,,1061941589.0,,1061941589.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,143.447.482,(143.447.482),-,,143447482.0,-143447482.0,
Xóa số,Nguyên giá > Xóa số,Xóa số,(33.359.564),-,-,(33.359.564),-33359564.0,,,-33359564.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.024.181.907.580,77.910.746.456,104.000.000,1.102.196.654.036,1024181907580.0,77910746456.0,104000000.0,1102196654036.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,83.628.234.464,66.075.272.419,232.201.231,149.935.708.114,83628234464.0,66075272419.0,232201231.0,149935708114.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,6.806.567.673,2.465.154.053,12.952.251,9.284.673.977,6806567673.0,2465154053.0,12952251.0,9284673977.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,-,143.447.482,(143.447.482),-,,143447482.0,-143447482.0,
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,(4.180.700),-,-,(4.180.700),-4180700.0,,,-4180700.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,90.430.621.437,68.683.873.954,101.706.000,159.216.201.391,90430621437.0,68683873954.0,101706000.0,159216201391.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,940.587.032.680,1.195.618.166,15.246.251,941.797.897.097,940587032680.0,1195618166.0,15246251.0,941797897097.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,933.751.286.143,9.226.872.502,2.294.000,942.980.452.645,933751286143.0,9226872502.0,2294000.0,942980452645.0
