row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócvà thiết bịVND,Phương tiệnvận chuyểnVND,Thiết bịquản lýVND,Tài sản khácVND,TổngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Thiết bịquản lýVND,numeric__Tài sản khácVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.078.623.291.633,7.700.011.600.756,254.634.372.155,147.640.041.984,9.321.546.674,10.190.230.853.202,2078623291633.0,7700011600756.0,254634372155.0,147640041984.0,9321546674.0,10190230853202.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,31.050.000,19.050.008.585,2.283.277.272,12.860.080.170,-,34.224.416.027,31050000.0,19050008585.0,2283277272.0,12860080170.0,,34224416027.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,49.164.581.592,521.928.837.541,-,2.623.232.944,-,573.716.652.077,49164581592.0,521928837541.0,,2623232944.0,,573716652077.0
Chuyển sang bắt động sản đầu tư(Thuyết minh 16(a)),Nguyên giá > Chuyển sang bắt động sản đầu tư(Thuyết minh 16(a)),Chuyển sang bắt động sản đầu tư(Thuyết minh 16(a)),(11.838.105.819),-,-,-,-,(11.838.105.819),-11838105819.0,,,,,-11838105819.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,-,(1.895.030.928),1.895.030.928,-,-,,,-1895030928.0,1895030928.0,,
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(8.842.158.317),(2.288.911.247),(174.256.731),-,(11.305.326.295),,-8842158317.0,-2288911247.0,-174256731.0,,-11305326295.0
Chuyển sang chi phí trả trước dài hạn,Nguyên giá > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,-,-,-,-,(71.700.000),(71.700.000),,,,,-71700000.0,-71700000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.115.980.817.406,8.232.148.288.565,252.733.707.252,164.844.129.295,9.249.846.674,10.774.956.789.192,2115980817406.0,8232148288565.0,252733707252.0,164844129295.0,9249846674.0,10774956789192.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,980.892.096.872,5.153.799.156.887,191.989.917.201,114.036.300.943,5.870.823.109,6.446.588.295.012,980892096872.0,5153799156887.0,191989917201.0,114036300943.0,5870823109.0,6446588295012.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,97.104.134.203,459.313.382.699,16.252.231.905,14.847.108.304,792.037.305,588.308.894.416,97104134203.0,459313382699.0,16252231905.0,14847108304.0,792037305.0,588308894416.0
Chuyển sang bắt động sản đầu tư(Thuyết minh 16(a)),Giá trị hao mòn lũy kế > Chuyển sang bắt động sản đầu tư(Thuyết minh 16(a)),Chuyển sang bắt động sản đầu tư(Thuyết minh 16(a)),(2.243.400.565),-,-,-,-,(2.243.400.565),-2243400565.0,,,,,-2243400565.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,-,-,(1.869.845.742),1.869.845.742,-,-,,,-1869845742.0,1869845742.0,,
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(8.622.855.437),(2.288.911.247),(174.256.731),-,(11.086.023.415),,-8622855437.0,-2288911247.0,-174256731.0,,-11086023415.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.075.752.830.510,5.604.489.684.149,204.083.392.117,130.578.998.258,6.662.860.414,7.021.567.765.448,1075752830510.0,5604489684149.0,204083392117.0,130578998258.0,6662860414.0,7021567765448.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.097.731.194.761,2.546.212.443.869,62.644.454.954,33.603.741.041,3.450.723.565,3.743.642.558.190,1097731194761.0,2546212443869.0,62644454954.0,33603741041.0,3450723565.0,3743642558190.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.040.227.986.896,2.627.658.604.416,48.650.315.135,34.265.131.037,2.586.986.260,3.753.389.023.744,1040227986896.0,2627658604416.0,48650315135.0,34265131037.0,2586986260.0,3753389023744.0
