row_label_raw,row_label_full,col_0,2020VND,2019VND,numeric__2020VND,numeric__2019VND
Công ty TNHH Bao bì San Miguel Yamamura Phú Thọ,Công ty TNHH Bao bì San Miguel Yamamura Phú Thọ,Công ty TNHH Bao bì San Miguel Yamamura Phú Thọ,Công ty TNHH Bao bì San Miguel Yamamura Phú Thọ,Công ty TNHH Bao bì San Miguel Yamamura Phú Thọ,,
Bán thành phẩm,Công ty TNHH Bao bì San Miguel Yamamura Phú Thọ > Bán thành phẩm,Bán thành phẩm,1.778.112.000,2.015.412.000,1778112000.0,2015412000.0
Mua vật liệu bao bì,Công ty TNHH Bao bì San Miguel Yamamura Phú Thọ > Mua vật liệu bao bì,Mua vật liệu bao bì,99.383.947.300,138.901.504.428,99383947300.0,138901504428.0
Cổ tức đã nhận,Công ty TNHH Bao bì San Miguel Yamamura Phú Thọ > Cổ tức đã nhận,Cổ tức đã nhận,-,8.141.000.000,,8141000000.0
Giao dịch khác,Công ty TNHH Bao bì San Miguel Yamamura Phú Thọ > Giao dịch khác,Giao dịch khác,236.645.638,-,236645638.0,
Công ty Cổ phần Kinh doanh Lương Thực - Thực phẩm Trường Sa,Công ty Cổ phần Kinh doanh Lương Thực - Thực phẩm Trường Sa,Công ty Cổ phần Kinh doanh Lương Thực - Thực phẩm Trường Sa,Công ty Cổ phần Kinh doanh Lương Thực - Thực phẩm Trường Sa,Công ty Cổ phần Kinh doanh Lương Thực - Thực phẩm Trường Sa,,
Mua nguyên vật liệu,Công ty Cổ phần Kinh doanh Lương Thực - Thực phẩm Trường Sa > Mua nguyên vật liệu,Mua nguyên vật liệu,-,2.527.349.800,,2527349800.0
Công ty Liên doanh TNHH Crown Sài Gòn,Công ty Liên doanh TNHH Crown Sài Gòn,Công ty Liên doanh TNHH Crown Sài Gòn,Công ty Liên doanh TNHH Crown Sài Gòn,Công ty Liên doanh TNHH Crown Sài Gòn,,
Bán nguyên vật liệu và hàng hóa khác,Công ty Liên doanh TNHH Crown Sài Gòn > Bán nguyên vật liệu và hàng hóa khác,Bán nguyên vật liệu và hàng hóa khác,1.860.158.464,-,1860158464.0,
Mua hàng hóa,Công ty Liên doanh TNHH Crown Sài Gòn > Mua hàng hóa,Mua hàng hóa,3.616.558.447,-,3616558447.0,
