row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Chênh lệch tỷ giá quy đổi tiền tệ VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận sau thuê chưa phân phối VND,Lợi ích của chủ sở hữu Tổng Công ty VND,Lợi ích cổ đông không kiểm soát VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Chênh lệch tỷ giá quy đổi tiền tệ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận sau thuê chưa phân phối VND,numeric__Lợi ích của chủ sở hữu Tổng Công ty VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2020,Số dư tại ngày 1 tháng 1 năm 2020,Số dư tại ngày 1 tháng 1 năm 2020,6.412.811.860.000,3.208.666.226,27.272.873.771,1.130.372.829.157,-,11.231.596.467.620,18.805.262.696.774,1.270.984.359.590,20.076.247.056.364,6412811860000.0,3208666226.0,27272873771.0,1130372829157.0,,11231596467620.0,18805262696774.0,1270984359590.0,20076247056364.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,4.723.496.860.190,4.723.496.860.190,213.349.110.064,4.936.845.970.254,,,,,,4723496860190.0,4723496860190.0,213349110064.0,4936845970254.0
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 24)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 24)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 24)",-,-,-,-,-,(149.318.980.876),(149.318.980.876),(20.793.545.057),(170.112.525.933),,,,,,-149318980876.0,-149318980876.0,-20793545057.0,-170112525933.0
"Điều chỉnh quỹ khen thưởng, phúc lợi (Thuyết minh 24)","Điều chỉnh quỹ khen thưởng, phúc lợi (Thuyết minh 24)","Điều chỉnh quỹ khen thưởng, phúc lợi (Thuyết minh 24)",-,-,-,-,-,51.522.281.739,51.522.281.739,5.962.913.479,57.485.195.218,,,,,,51522281739.0,51522281739.0,5962913479.0,57485195218.0
"Điều chỉnh quỹ đầu tư, phát triển","Điều chỉnh quỹ đầu tư, phát triển","Điều chỉnh quỹ đầu tư, phát triển",-,-,-,(7.538.772.810),-,7.538.772.810,-,-,-,,,,-7538772810.0,,7538772810.0,,,
Cổ tức (Thuyết minh 29),Cổ tức (Thuyết minh 29),Cổ tức (Thuyết minh 29),-,-,-,-,-,(3.527.046.523.000),(3.527.046.523.000),(193.710.724.921),(3.720.757.247.921),,,,,,-3527046523000.0,-3527046523000.0,-193710724921.0,-3720757247921.0
Chênh lệch tỷ giá quy đổi tiền tệ,Chênh lệch tỷ giá quy đổi tiền tệ,Chênh lệch tỷ giá quy đổi tiền tệ,-,-,(407.539.897),-,-,-,(407.539.897),-,(407.539.897),,,-407539897.0,,,,-407539897.0,,-407539897.0
Trích quỹ công tác xã hội,Trích quỹ công tác xã hội,Trích quỹ công tác xã hội,-,-,-,-,-,(5.160.121.829),(5.160.121.829),(879.933.576),(6.040.055.405),,,,,,-5160121829.0,-5160121829.0,-879933576.0,-6040055405.0
Điều chỉnh quỹ công tác xã hội,Điều chỉnh quỹ công tác xã hội,Điều chỉnh quỹ công tác xã hội,-,-,,,-,40.235.334.870,40.235.334.870,(187.026.621),40.048.308.249,,,,,,40235334870.0,40235334870.0,-187026621.0,40048308249.0
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,-,-,12.114.283,-,1.634.714.209,1.646.828.492,320.401.507,1.967.229.999,,,,12114283.0,,1634714209.0,1646828492.0,320401507.0,1967229999.0
Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,6.412.811.860.000,3.208.666.226,26.865.333.874,1.122.846.170.630,-,12.374.498.805.733,19.940.230.836.463,1.275.045.554.465,21.215.276.390.928,6412811860000.0,3208666226.0,26865333874.0,1122846170630.0,,12374498805733.0,19940230836463.0,1275045554465.0,21215276390928.0
