row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,2020 VND,2019 VND,numeric__Mã số,numeric__Thuyết minh,numeric__2020 VND,numeric__2019 VND
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,31,28.135.622.624.299,38.133.790.098.273,1.0,31.0,28135622624299.0,38133790098273.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,31,174.298.787.288,234.730.596.978,2.0,31.0,174298787288.0,234730596978.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,31,27.961.323.837.011,37.899.059.501.295,10.0,31.0,27961323837011.0,37899059501295.0
Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,11,32,19.460.229.052.562,28.348.430.809.281,11.0,32.0,19460229052562.0,28348430809281.0
Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),20,,8.501.094.784.449,9.550.628.692.014,20.0,,8501094784449.0,9550628692014.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,33,974.401.634.870,889.852.505.295,21.0,33.0,974401634870.0,889852505295.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,34,105.449.377.566,93.009.586.460,22.0,34.0,105449377566.0,93009586460.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,63.681.326.473,37.367.206.872,23.0,,63681326473.0,37367206872.0
Phần lãi trong công ty liên kết và cơ sở kinh doanh đồng kiểm soát,Phần lãi trong công ty liên kết và cơ sở kinh doanh đồng kiểm soát,Phần lãi trong công ty liên kết và cơ sở kinh doanh đồng kiểm soát,24,7(c),267.405.919.991,378.267.281.269,24.0,,267405919991.0,378267281269.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,35,2.859.036.781.083,3.003.290.717.435,25.0,35.0,2859036781083.0,3003290717435.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,36,702.005.344.515,1.047.841.925.145,26.0,36.0,702005344515.0,1047841925145.0
Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) + 24 - (25 + 26)},Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) + 24 - (25 + 26)},Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) + 24 - (25 + 26)},30,,6.076.410.836.146,6.674.606.249.538,30.0,,6076410836146.0,6674606249538.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,,55.952.250.986,74.504.231.449,31.0,,55952250986.0,74504231449.0
Chi phí khác,Chi phí khác,Chi phí khác,32,,20.544.761.167,62.933.856.025,32.0,,20544761167.0,62933856025.0
Kết quả từ các hoạt động khác (40 = 31 - 32),Kết quả từ các hoạt động khác (40 = 31 - 32),Kết quả từ các hoạt động khác (40 = 31 - 32),40,,35.407.489.819,11.570.375.424,40.0,,35407489819.0,11570375424.0
Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),50,,6.111.818.325.965,6.686.176.624.962,50.0,,6111818325965.0,6686176624962.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,38,1.124.942.822.470,1.347.171.652.994,51.0,38.0,1124942822470.0,1347171652994.0
Chi phí/(lợi ích) thuế TNDN hoãn lại,Chi phí/(lợi ích) thuế TNDN hoãn lại,Chi phí/(lợi ích) thuế TNDN hoãn lại,52,38,50.029.533.241,(31.142.736.574),52.0,38.0,50029533241.0,-31142736574.0
Lợi nhuận thuần sau thuế TNDN (60 = 50 - 51 - 52) (mang sang trang sau),Lợi nhuận thuần sau thuế TNDN (60 = 50 - 51 - 52) (mang sang trang sau),Lợi nhuận thuần sau thuế TNDN (60 = 50 - 51 - 52) (mang sang trang sau),60,,4.936.845.970.254,5.370.147.708.542,60.0,,4936845970254.0,5370147708542.0
