row_label_raw,row_label_full,col_0,2020VND,2019VND(Điều chỉnh lại),numeric__2020VND,numeric__2019VND(Điều chỉnh lại)
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,4.723.496.860.190,5.053.363.919.165,4723496860190.0,5053363919165.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",(149.318.980.876),(207.210.326.013),-149318980876.0,-207210326013.0
Lợi nhuận thuần thuộc về cổ đông phổ thông,Lợi nhuận thuần thuộc về cổ đông phổ thông,Lợi nhuận thuần thuộc về cổ đông phổ thông,4.574.177.879.314,4.846.153.593.152,4574177879314.0,4846153593152.0
