row_label_raw,row_label_full,col_0,Thuế suất,31/12/2020 VND,1/1/2020 VND,numeric__Thuế suất,numeric__31/12/2020 VND,numeric__1/1/2020 VND
Tài sản thuế thu nhập hoãn lại ghi nhận trên:,Tài sản thuế thu nhập hoãn lại ghi nhận trên:,Tài sản thuế thu nhập hoãn lại ghi nhận trên:,Tài sản thuế thu nhập hoãn lại ghi nhận trên:,Tài sản thuế thu nhập hoãn lại ghi nhận trên:,Tài sản thuế thu nhập hoãn lại ghi nhận trên:,,,
▪ Dự phòng đầu tư tài chính dài hạn,Tài sản thuế thu nhập hoãn lại ghi nhận trên: > ▪ Dự phòng đầu tư tài chính dài hạn,▪ Dự phòng đầu tư tài chính dài hạn,20%,65.243.864.533,62.078.974.035,0.2,65243864533.0,62078974035.0
▪ Chi phí phải trả và các khoản dự phòng,Tài sản thuế thu nhập hoãn lại ghi nhận trên: > ▪ Chi phí phải trả và các khoản dự phòng,▪ Chi phí phải trả và các khoản dự phòng,20%,42.316.471.671,65.769.374.820,0.2,42316471671.0,65769374820.0
▪ Lãi chưa thực hiện,Tài sản thuế thu nhập hoãn lại ghi nhận trên: > ▪ Lãi chưa thực hiện,▪ Lãi chưa thực hiện,20%,39.444.313.110,45.504.272.571,0.2,39444313110.0,45504272571.0
"▪ Dự phòng giảm giá hàng tồn kho, thiết bị, vật tư và phụ tùng thay thế dài hạn","Tài sản thuế thu nhập hoãn lại ghi nhận trên: > ▪ Dự phòng giảm giá hàng tồn kho, thiết bị, vật tư và phụ tùng thay thế dài hạn","▪ Dự phòng giảm giá hàng tồn kho, thiết bị, vật tư và phụ tùng thay thế dài hạn",20%,20.900.876.816,36.470.545.384,0.2,20900876816.0,36470545384.0
▪ Dự phòng phải thu khó đòi,Tài sản thuế thu nhập hoãn lại ghi nhận trên: > ▪ Dự phòng phải thu khó đòi,▪ Dự phòng phải thu khó đòi,20%,2.323.811.667,4.345.263.905,0.2,2323811667.0,4345263905.0
▪ Các khoản khác,Tài sản thuế thu nhập hoãn lại ghi nhận trên: > ▪ Các khoản khác,▪ Các khoản khác,20%,540.202.248,567.880.000,0.2,540202248.0,567880000.0
Tổng tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại ghi nhận trên: > Tổng tài sản thuế thu nhập hoãn lại,Tổng tài sản thuế thu nhập hoãn lại,,170.769.540.045,214.736.310.715,,170769540045.0,214736310715.0
Thuế thu nhập hoãn lại phải trả ghi nhận trên:,Thuế thu nhập hoãn lại phải trả ghi nhận trên:,Thuế thu nhập hoãn lại phải trả ghi nhận trên:,Thuế thu nhập hoãn lại phải trả ghi nhận trên:,Thuế thu nhập hoãn lại phải trả ghi nhận trên:,Thuế thu nhập hoãn lại phải trả ghi nhận trên:,,,
▪ Dự phòng đầu tư tài chính dài hạn,Thuế thu nhập hoãn lại phải trả ghi nhận trên: > ▪ Dự phòng đầu tư tài chính dài hạn,▪ Dự phòng đầu tư tài chính dài hạn,20%,31.945.415.048,25.196.385.655,0.2,31945415048.0,25196385655.0
▪ Công cụ và dụng cụ,Thuế thu nhập hoãn lại phải trả ghi nhận trên: > ▪ Công cụ và dụng cụ,▪ Công cụ và dụng cụ,20%,5.150.600.909,6.480.311.474,0.2,5150600909.0,6480311474.0
▪ Chi phí phải trả và các khoản khác,Thuế thu nhập hoãn lại phải trả ghi nhận trên: > ▪ Chi phí phải trả và các khoản khác,▪ Chi phí phải trả và các khoản khác,20%,(489.633.313),(1.133.077.056),0.2,-489633313.0,-1133077056.0
Tổng thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả ghi nhận trên: > Tổng thuế thu nhập hoãn lại phải trả,Tổng thuế thu nhập hoãn lại phải trả,,36.606.382.644,30.543.620.073,,36606382644.0,30543620073.0
