row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Chênh lệch tỷ giá quy đổi tiền tệ VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích của chủ sở hữu Tổng Công ty VND,Lợi ích cổ đông không kiểm soát VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Chênh lệch tỷ giá quy đổi tiền tệ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích của chủ sở hữu Tổng Công ty VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2019,Số dư tại ngày 1 tháng 1 năm 2019,Số dư tại ngày 1 tháng 1 năm 2019,6.412.811.860.000,3.208.666.226,21.099.487.654,1.130.147.220.442,5.327.112.664,7.473.777.581.426,15.046.371.928.412,1.065.496.239.757,16.111.868.168.169,6412811860000.0,3208666226.0,21099487654.0,1130147220442.0,5327112664.0,7473777581426.0,15046371928412.0,1065496239757.0,16111868168169.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,5.053.363.919.165,5.053.363.919.165,316.783.789.377,5.370.147.708.542,,,,,,5053363919165.0,5053363919165.0,316783789377.0,5370147708542.0
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 24)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 24)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 24)",-,-,-,-,-,(258.732.607.752),(258.732.607.752),(31.277.501.312),(290.010.109.064),,,,,,-258732607752.0,-258732607752.0,-31277501312.0,-290010109064.0
"Điều chỉnh quỹ khen thưởng, phúc lợi (Thuyết minh 24)","Điều chỉnh quỹ khen thưởng, phúc lợi (Thuyết minh 24)","Điều chỉnh quỹ khen thưởng, phúc lợi (Thuyết minh 24)",-,-,-,-,-,(30.004.529.945),(30.004.529.945),(2.853.820.673),(32.858.350.618),,,,,,-30004529945.0,-30004529945.0,-2853820673.0,-32858350618.0
"Trích quỹ đầu tư, phát triển","Trích quỹ đầu tư, phát triển","Trích quỹ đầu tư, phát triển",-,-,-,221.570.621,-,(221.570.621),-,-,-,,,,221570621.0,,-221570621.0,,,
Cổ tức,Cổ tức,Cổ tức,-,-,-,-,-,(961.921.779.000),(961.921.779.000),(173.082.243.279),(1.135.004.022.279),,,,,,-961921779000.0,-961921779000.0,-173082243279.0,-1135004022279.0
Chênh lệch tỷ giá quy đổi tiền tệ,Chênh lệch tỷ giá quy đổi tiền tệ,Chênh lệch tỷ giá quy đổi tiền tệ,-,-,6.173.386.117,-,-,-,6.173.386.117,-,6.173.386.117,,,6173386117.0,,,,6173386117.0,,6173386117.0
Trích quỹ công tác xã hội,Trích quỹ công tác xã hội,Trích quỹ công tác xã hội,-,-,-,-,-,(48.395.939.581),(48.395.939.581),(1.187.283.714),(49.583.223.295),,,,,,-48395939581.0,-48395939581.0,-1187283714.0,-49583223295.0
Điều chỉnh quỹ công tác xã hội,Điều chỉnh quỹ công tác xã hội,Điều chỉnh quỹ công tác xã hội,-,-,-,-,-,(2.116.745.426),(2.116.745.426),176.278.556,(1.940.466.870),,,,,,-2116745426.0,-2116745426.0,176278556.0,-1940466870.0
Chuyển từ quỹ khác thuộc vốn chủ sở hữu sang lợi nhuận sau thuế chưa phân phối,Chuyển từ quỹ khác thuộc vốn chủ sở hữu sang lợi nhuận sau thuế chưa phân phối,Chuyển từ quỹ khác thuộc vốn chủ sở hữu sang lợi nhuận sau thuế chưa phân phối,-,-,-,-,(5.327.112.664),5.327.112.664,-,-,-,,,,,-5327112664.0,5327112664.0,,,
Mua lại công ty con,Mua lại công ty con,Mua lại công ty con,-,-,-,-,-,-,-,97.131.363.467,97.131.363.467,,,,,,,,97131363467.0,97131363467.0
Thay đổi tỷ lệ sở hữu của cổ đông không kiểm soát,Thay đổi tỷ lệ sở hữu của cổ đông không kiểm soát,Thay đổi tỷ lệ sở hữu của cổ đông không kiểm soát,-,-,-,-,-,99.219.823,99.219.823,(99.219.823),-,,,,,,99219823.0,99219823.0,-99219823.0,
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,-,-,4.038.094,-,421.806.867,425.844.961,(103.242.766),322.602.195,,,,4038094.0,,421806867.0,425844961.0,-103242766.0,322602195.0
Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,6.412.811.860.000,3.208.666.226,27.272.873.771,1.130.372.829.157,-,11.231.596.467.620,18.805.262.696.774,1.270.984.359.590,20.076.247.056.364,6412811860000.0,3208666226.0,27272873771.0,1130372829157.0,,11231596467620.0,18805262696774.0,1270984359590.0,20076247056364.0
