row_label_raw,row_label_full,Tên công ty,31/12/2020 > Hạch toán theo vốn chủ sở hữu VND,31/12/2020 > Giá trị hợp lý VND,31/12/2020 > Dự phòng VND,1/1/2020 > Hạch toán theo vốn chủ sở hữu VND,1/1/2020 > Giá trị hợp lý VND,1/1/2020 > Dự phòng VND,numeric__31/12/2020 > Hạch toán theo vốn chủ sở hữu VND,numeric__31/12/2020 > Giá trị hợp lý VND,numeric__31/12/2020 > Dự phòng VND,numeric__1/1/2020 > Hạch toán theo vốn chủ sở hữu VND,numeric__1/1/2020 > Giá trị hợp lý VND,numeric__1/1/2020 > Dự phòng VND
Công ty Cổ phần Kinh doanh Lương thực - Thực phẩm Trường Sa,Công ty Cổ phần Kinh doanh Lương thực - Thực phẩm Trường Sa,Công ty Cổ phần Kinh doanh Lương thực - Thực phẩm Trường Sa,4.877.957.381,(*),(4.877.957.381),5.349.040.203,(*),-,4877957381.0,,-4877957381.0,5349040203.0,,
Công ty Cổ phần Tư vấn Đầu tư - Thiết kế và Chuyển giao Công nghệ Thành Nam,Công ty Cổ phần Tư vấn Đầu tư - Thiết kế và Chuyển giao Công nghệ Thành Nam,Công ty Cổ phần Tư vấn Đầu tư - Thiết kế và Chuyển giao Công nghệ Thành Nam,329.653.546,(*),-,329.653.546,(*),-,329653546.0,,,329653546.0,,
Công ty Cổ phần Bia Sài Gòn - Phú Thọ,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,76.988.553.528,76.124.792.250,-,79.280.455.575,103.789.126.800,-,76988553528.0,76124792250.0,,79280455575.0,103789126800.0,
Công ty Cổ phần Cơ khí và Xây lắp Công nghiệp,Công ty Cổ phần Cơ khí và Xây lắp Công nghiệp,Công ty Cổ phần Cơ khí và Xây lắp Công nghiệp,6.634.611.156,(*),-,11.239.321.481,(*),-,6634611156.0,,,11239321481.0,,
Công ty Cổ phần Bia - Nước Giải khát Sài Gòn - Tây Đô,Công ty Cổ phần Bia - Nước Giải khát Sài Gòn - Tây Đô,Công ty Cổ phần Bia - Nước Giải khát Sài Gòn - Tây Đô,105.166.392.165,(*),-,112.110.621.745,(*),-,105166392165.0,,,112110621745.0,,
Công ty TNHH Trung Tâm Mê Linh,Công ty TNHH Trung Tâm Mê Linh,Công ty TNHH Trung Tâm Mê Linh,138.972.042.458,(*),-,129.777.418.614,(*),-,138972042458.0,,,129777418614.0,,
Công ty Liên doanh TNHH Crown Sài Gòn,Công ty Liên doanh TNHH Crown Sài Gòn,Công ty Liên doanh TNHH Crown Sài Gòn,421.373.260.968,(*),-,300.165.809.593,(*),-,421373260968.0,,,300165809593.0,,
Công ty TNHH Thủy tinh Malaya Việt Nam,Công ty TNHH Thủy tinh Malaya Việt Nam,Công ty TNHH Thủy tinh Malaya Việt Nam,289.884.838.556,(*),-,261.432.271.091,(*),-,289884838556.0,,,261432271091.0,,
Công ty TNHH Bao bì San Miguel Yamamura Phú Thọ,Công ty TNHH Bao bì San Miguel Yamamura Phú Thọ,Công ty TNHH Bao bì San Miguel Yamamura Phú Thọ,62.363.920.103,(*),-,58.224.106.724,(*),-,62363920103.0,,,58224106724.0,,
Công ty TNHH Sản xuất Rượu và Cồn Việt Nam,Công ty TNHH Sản xuất Rượu và Cồn Việt Nam,Công ty TNHH Sản xuất Rượu và Cồn Việt Nam,26.502.914.250,(*),(26.502.914.250),26.502.914.250,(*),(26.502.914.250),26502914250.0,,-26502914250.0,26502914250.0,,-26502914250.0
