row_label_raw,row_label_full,col_0,Giá gốc/Số có khả năng trả nợ,Giá gốc/Số có khả năng trả nợ_1,numeric__Giá gốc/Số có khả năng trả nợ,numeric__Giá gốc/Số có khả năng trả nợ_1
,,,31/12/2020VND,1/1/2020VND,,
Công ty liên kết và cơ sở kinh doanh đồng kiểm soát,Công ty liên kết và cơ sở kinh doanh đồng kiểm soát,Công ty liên kết và cơ sở kinh doanh đồng kiểm soát,Công ty liên kết và cơ sở kinh doanh đồng kiểm soát,Công ty liên kết và cơ sở kinh doanh đồng kiểm soát,,
Công ty Liên doanh TNHH Crown Sài Gòn,Công ty liên kết và cơ sở kinh doanh đồng kiểm soát > Công ty Liên doanh TNHH Crown Sài Gòn,Công ty Liên doanh TNHH Crown Sài Gòn,223.084.440.143,235.967.453.301,223084440143.0,235967453301.0
Công ty Cổ phần Bia Sài Gòn - Miền Trung,Công ty liên kết và cơ sở kinh doanh đồng kiểm soát > Công ty Cổ phần Bia Sài Gòn - Miền Trung,Công ty Cổ phần Bia Sài Gòn - Miền Trung,44.976.587.953,52.041.494.908,44976587953.0,52041494908.0
Công ty Cổ phần Tập đoàn Bia Sài Gòn Bình Tây,Công ty liên kết và cơ sở kinh doanh đồng kiểm soát > Công ty Cổ phần Tập đoàn Bia Sài Gòn Bình Tây,Công ty Cổ phần Tập đoàn Bia Sài Gòn Bình Tây,19.812.398.470,63.993.357.149,19812398470.0,63993357149.0
Công ty Cổ phần Bia Sài Gòn - Khánh Hòa,Công ty liên kết và cơ sở kinh doanh đồng kiểm soát > Công ty Cổ phần Bia Sài Gòn - Khánh Hòa,Công ty Cổ phần Bia Sài Gòn - Khánh Hòa,18.108.761.000,5.565.963.898,18108761000.0,5565963898.0
Công ty TNHH Bao bì San Miguel Yamamura,Công ty TNHH Bao bì San Miguel Yamamura,Công ty TNHH Bao bì San Miguel Yamamura,,,,
Phú Thọ,Công ty TNHH Bao bì San Miguel Yamamura > Phú Thọ,Phú Thọ,12.707.200.000,15.764.630.891,12707200000.0,15764630891.0
Công ty Cổ phần Bia Sài Gòn - Phú Thọ,Công ty TNHH Bao bì San Miguel Yamamura > Công ty Cổ phần Bia Sài Gòn - Phú Thọ,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,11.483.668.900,24.851.400.970,11483668900.0,24851400970.0
Công ty Cổ phần Bia Sài Gòn - Bến Tre,Công ty TNHH Bao bì San Miguel Yamamura > Công ty Cổ phần Bia Sài Gòn - Bến Tre,Công ty Cổ phần Bia Sài Gòn - Bến Tre,9.454.426.850,18.409.920.276,9454426850.0,18409920276.0
Công ty Cổ phần Bia - Nước Giải khát Sài Gòn - Tây Đô,Công ty TNHH Bao bì San Miguel Yamamura > Công ty Cổ phần Bia - Nước Giải khát Sài Gòn - Tây Đô,Công ty Cổ phần Bia - Nước Giải khát Sài Gòn - Tây Đô,6.011.317.950,8.441.778.004,6011317950.0,8441778004.0
Công ty TNHH Thủy tinh Malaya Việt Nam,Công ty TNHH Bao bì San Miguel Yamamura > Công ty TNHH Thủy tinh Malaya Việt Nam,Công ty TNHH Thủy tinh Malaya Việt Nam,5.611.672.105,-,5611672105.0,
Công ty Cổ phần Bia Sài Gòn - Vĩnh Long,Công ty TNHH Bao bì San Miguel Yamamura > Công ty Cổ phần Bia Sài Gòn - Vĩnh Long,Công ty Cổ phần Bia Sài Gòn - Vĩnh Long,4.825.865.000,21.125.716.480,4825865000.0,21125716480.0
Công ty Cổ phần Bia Sài Gòn - Kiên Giang,Công ty TNHH Bao bì San Miguel Yamamura > Công ty Cổ phần Bia Sài Gòn - Kiên Giang,Công ty Cổ phần Bia Sài Gòn - Kiên Giang,3.218.569.970,27.107.766.113,3218569970.0,27107766113.0
Công ty Cổ phần Bia Sài Gòn - Bạc Liêu,Công ty TNHH Bao bì San Miguel Yamamura > Công ty Cổ phần Bia Sài Gòn - Bạc Liêu,Công ty Cổ phần Bia Sài Gòn - Bạc Liêu,2.149.649.700,4.688.242.020,2149649700.0,4688242020.0
Công ty TNHH Trung Tâm Mê Linh,Công ty TNHH Bao bì San Miguel Yamamura > Công ty TNHH Trung Tâm Mê Linh,Công ty TNHH Trung Tâm Mê Linh,319.000.000,-,319000000.0,
Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,,
Công ty TNHH Lon Nước Giải Khát TBC-Ball Việt Nam,Bên liên quan khác > Công ty TNHH Lon Nước Giải Khát TBC-Ball Việt Nam,Công ty TNHH Lon Nước Giải Khát TBC-Ball Việt Nam,96.115.396.624,52.601.015.251,96115396624.0,52601015251.0
