row_label_raw,row_label_full,Tên công ty,31/12/2020 > Giá gốc VND,31/12/2020 > Giá trị hợp lý VND,31/12/2020 > Dự phòng VND,1/1/2020 > Giá gốc VND,1/1/2020 > Giá trị hợp lý VND,1/1/2020 > Dự phòng VND,numeric__31/12/2020 > Giá gốc VND,numeric__31/12/2020 > Giá trị hợp lý VND,numeric__31/12/2020 > Dự phòng VND,numeric__1/1/2020 > Giá gốc VND,numeric__1/1/2020 > Giá trị hợp lý VND,numeric__1/1/2020 > Dự phòng VND
Ngân hàng Thương mại Cổ phần Phương Đông,Ngân hàng Thương mại Cổ phần Phương Đông,Ngân hàng Thương mại Cổ phần Phương Đông,216.579.320.000,375.218.868.800,-,216.579.320.000,234.115.429.133,-,216579320000.0,375218868800.0,,216579320000.0,234115429133.0,
Ngân hàng Thương mại Cổ phần Đông Silver,Ngân hàng Thương mại Cổ phần Đông Silver,Ngân hàng Thương mại Cổ phần Đông Silver,136.265.460.000,(*),(136.265.460.000),136.265.460.000,(*),(136.265.460.000),136265460000.0,,-136265460000.0,136265460000.0,,-136265460000.0
Công ty Cổ phần Tập đoàn Bao Bì Sài Gòn,Công ty Cổ phần Tập đoàn Bao Bì Sài Gòn,Công ty Cổ phần Tập đoàn Bao Bì Sài Gòn,50.000.000.000,(*),-,50.000.000.000,(*),-,50000000000.0,,,50000000000.0,,
Công ty Cổ phần PVI,Công ty Cổ phần PVI,Công ty Cổ phần PVI,51.475.140.000,15.439.345.200,(36.035.794.800),51.475.140.000,14.953.831.200,(36.521.308.800),51475140000.0,15439345200.0,-36035794800.0,51475140000.0,14953831200.0,-36521308800.0
Công ty Cổ phần Đầu tư - Phát triển Không Gian Ngầm,Công ty Cổ phần Đầu tư - Phát triển Không Gian Ngầm,Công ty Cổ phần Đầu tư - Phát triển Không Gian Ngầm,23.085.000.000,(*),(23.085.000.000),23.085.000.000,(*),(23.085.000.000),23085000000.0,,-23085000000.0,23085000000.0,,-23085000000.0
Công ty Cổ phần Du lịch Đầu khí Phương Đông,Công ty Cổ phần Du lịch Đầu khí Phương Đông,Công ty Cổ phần Du lịch Đầu khí Phương Đông,30.700.950.000,5.145.000.000,(30.700.950.000),30.700.950.000,7.056.000.000,(30.700.950.000),30700950000.0,5145000000.0,-30700950000.0,30700950000.0,7056000000.0,-30700950000.0
Quỹ đầu tư Chứng khoán Sài Gòn A2,Quỹ đầu tư Chứng khoán Sài Gòn A2,Quỹ đầu tư Chứng khoán Sài Gòn A2,35.757.720.722,(*),(35.757.720.722),35.757.720.722,(*),(35.757.720.722),35757720722.0,,-35757720722.0,35757720722.0,,-35757720722.0
Công ty Cổ phần Vận tải và Giao nhận Bia Sài Gòn,Công ty Cổ phần Vận tải và Giao nhận Bia Sài Gòn,Công ty Cổ phần Vận tải và Giao nhận Bia Sài Gòn,26.588.267.394,(*),-,26.588.267.394,(*),-,26588267394.0,,,26588267394.0,,
"Công ty Cổ phần Cồn, Rượu Bình Tây - Việt Nam","Công ty Cổ phần Cồn, Rượu Bình Tây - Việt Nam","Công ty Cổ phần Cồn, Rượu Bình Tây - Việt Nam",300.000.000,(*),(300.000.000),300.000.000,(*),(300.000.000),300000000.0,,-300000000.0,300000000.0,,-300000000.0
Công ty Cổ phần Du lịch Thương mại Nha Trang,Công ty Cổ phần Du lịch Thương mại Nha Trang,Công ty Cổ phần Du lịch Thương mại Nha Trang,1.161.147.000,(*),(1.161.147.000),1.161.147.000,(*),-,1161147000.0,,-1161147000.0,1161147000.0,,
Công ty Cổ phần Chứng khoán Đại Việt,Công ty Cổ phần Chứng khoán Đại Việt,Công ty Cổ phần Chứng khoán Đại Việt,45.000.000.000,(*),(45.000.000.000),45.000.000.000,(*),(45.000.000.000),45000000000.0,,-45000000000.0,45000000000.0,,-45000000000.0
Công ty TNHH Đầu tư Sabeco HP,Công ty TNHH Đầu tư Sabeco HP,Công ty TNHH Đầu tư Sabeco HP,24.426.586.800,(*),(24.426.586.800),24.426.586.800,(*),(24.426.586.800),24426586800.0,,-24426586800.0,24426586800.0,,-24426586800.0
Công ty Cổ phần Bia Sài Gòn - Đồng Nai,Công ty Cổ phần Bia Sài Gòn - Đồng Nai,Công ty Cổ phần Bia Sài Gòn - Đồng Nai,3.954.000.000,(*),(3.954.000.000),3.954.000.000,(*),(3.954.000.000),3954000000.0,,-3954000000.0,3954000000.0,,-3954000000.0
Công ty Cổ phần Du lịch Sài Gòn - Đông Hà,Công ty Cổ phần Du lịch Sài Gòn - Đông Hà,Công ty Cổ phần Du lịch Sài Gòn - Đông Hà,5.600.000.000,(*),(5.600.000.000),5.600.000.000,(*),(1.810.837.795),5600000000.0,,-5600000000.0,5600000000.0,,-1810837795.0
Tổng Công ty cổ phần Đầu tư Phát triển Xây dựng,Tổng Công ty cổ phần Đầu tư Phát triển Xây dựng,Tổng Công ty cổ phần Đầu tư Phát triển Xây dựng,14.992.108.200,(*),-,14.992.108.200,(*),(319.597.560),14992108200.0,,,14992108200.0,,-319597560.0
,,,665.885.700.116,,(342.286.659.322),665.885.700.116,,(338.141.461.677),665885700116.0,,-342286659322.0,665885700116.0,,-338141461677.0
